"Experiment","Run","Number","Feature","Margs"
"S1",15,"Feature1","x1",1
"S1",15,"Feature2","p3(x11)",1
"S1",15,"Feature3","x5",1
"S1",15,"Feature4","x6",1
"S1",15,"Feature5","p3(x13)",1
"S1",15,"Feature6","x8",1
"S1",15,"Feature7","x9",1
"S1",15,"Feature8","x10",1
"S1",15,"Feature9","x12",1
"S1",15,"Feature10","x13",1
"S1",15,"Feature11","p3(x6)",1
"S1",15,"Feature12","x4",0.999999999886072
"S1",15,"Feature13","sigmoid(x11)",0.999850955520265
"S1",15,"Feature14","x11",0.66671634815976
"S1",15,"Feature15","x11",0.666567303679874
"S2",15,"Feature1","x1",1
"S2",15,"Feature2","sigmoid(x6)",1
"S2",15,"Feature3","sigmoid(x13)",1
"S2",15,"Feature4","p0(x10)",1
"S2",15,"Feature5","x5",1
"S2",15,"Feature6","x6",1
"S2",15,"Feature7","x8",1
"S2",15,"Feature8","exp_dbl(sigmoid(x13))",1
"S2",15,"Feature9","x11",1
"S2",15,"Feature10","x12",1
"S2",15,"Feature11","exp_dbl(x9)",1
"S2",15,"Feature12","x9*x13",1
"S2",15,"Feature13","x6*x9",1
"S2",15,"Feature14","x9",0.666666666652494
"S2",15,"Feature15","x9",0.666666666652494
"S3",15,"Feature1","p3(x6)",1
"S3",15,"Feature2","x6",1
"S3",15,"Feature3","x5*x10",1
"S3",15,"Feature4","x8",1
"S3",15,"Feature5","x9",1
"S3",15,"Feature6","x12",1
"S3",15,"Feature7","x13",1
"S3",15,"Feature8","x9*x6",1
"S3",15,"Feature9","x4",0.999999774351401
"S3",15,"Feature10","x3",0.999997955488489
"S3",15,"Feature11","x2",0.999867375292042
"S3",15,"Feature12","x1",0.666678096245038
"S3",15,"Feature13","x11",0.666678058040683
"S3",15,"Feature14","x11",0.666660800950238
"S3",15,"Feature15","x1",0.666660762741597
"S4",15,"Feature1","x1",1
"S4",15,"Feature2","sigmoid(x13)*x1",1
"S4",15,"Feature3","x1*x12",1
"S4",15,"Feature4","x5",1
"S4",15,"Feature5","x6",1
"S4",15,"Feature6","x8",1
"S4",15,"Feature7","x9",1
"S4",15,"Feature8","x10",1
"S4",15,"Feature9","troot(x13)*x13",1
"S4",15,"Feature10","x13",1
"S4",15,"Feature11","x12",1
"S4",15,"Feature12","exp_dbl(x3)",1
"S4",15,"Feature13","sigmoid(x13)",0.999999999999982
"S4",15,"Feature14","x11",0.99999999941764
"S4",15,"Feature15","x11*sigmoid(x13)",0.999990695401359
"S5",15,"Feature1","x1",1
"S5",15,"Feature2","p0(x13)",1
"S5",15,"Feature3","x4",1
"S5",15,"Feature4","x5",1
"S5",15,"Feature5","x6",1
"S5",15,"Feature6","x8",1
"S5",15,"Feature7","x10",1
"S5",15,"Feature8","x11",1
"S5",15,"Feature9","x12",1
"S5",15,"Feature10","p0(x11)",1
"S5",15,"Feature11","troot(x13)",1
"S5",15,"Feature12","x9",0.999999998948153
"S5",15,"Feature13","exp_dbl(x8)",0.99999985962228
"S5",15,"Feature14","p0(x9)",0.999998948340687
"S5",15,"Feature15","x13",0.998863512553769
"S6",15,"Feature1","x1",1
"S6",15,"Feature2","x6*(x11*x5)",1
"S6",15,"Feature3","x11*x5",1
"S6",15,"Feature4","exp_dbl(x13)",1
"S6",15,"Feature5","x5",1
"S6",15,"Feature6","x6",1
"S6",15,"Feature7","sigmoid(x13)",1
"S6",15,"Feature8","x8",1
"S6",15,"Feature9","x9",1
"S6",15,"Feature10","x10",1
"S6",15,"Feature11","p0(x6*(x11*x5))",1
"S6",15,"Feature12","x12",1
"S6",15,"Feature13","x13",1
"S6",15,"Feature14","exp_dbl(x13)*x8",1
"S6",15,"Feature15","sigmoid(x6)",1
