"Experiment","Run","Number","Feature","Margs"
"S1",1,"Feature1","troot(x4*x4)*x9",1
"S2",1,"Feature1","troot(x9*(x4*x4))",0.999999999993816
"S3",1,"Feature1","troot(x4*x4)*x9",0.92996650795938
"S3",1,"Feature2","troot(x4*x4)",0.0700334922599256
"S3",1,"Feature3","x4",0.00979641572860947
"S3",1,"Feature4","x8",0.00625963479305027
"S3",1,"Feature5","x3",0.00603374816505697
"S3",1,"Feature6","x7*x4",0.00197861228809467
"S4",1,"Feature1","troot((x4*x9)*x4)",0.943079146241396
"S4",1,"Feature2","troot((x4*x9)*(x4*x9))",0.056920853831544
"S5",1,"Feature1","troot(x4*x4)*x9",0.843721319486299
"S5",1,"Feature2","troot(x4*x4)",0.156284428938446
"S5",1,"Feature3","x2*x4",0.103873042220811
"S5",1,"Feature4","x8",0.00617627947826435
"S6",1,"Feature1","(troot(x4)*troot(x4))*x9",1
"S1",2,"Feature1","troot(x4*x4)",0.990842192472096
"S1",2,"Feature2","x4",0.15109890017954
"S1",2,"Feature3","troot(x4)",0.00701980993067592
"S1",2,"Feature4","troot(x7*x4)",0.00213802903560593
"S2",2,"Feature1","troot(x4*(x4*x7))",0.999999965226404
"S2",2,"Feature2","x3",0.00594252447157578
"S2",2,"Feature3","x10",0.00590638562521958
"S3",2,"Feature1","x9*troot(x4*x4)",0.940155754918175
"S3",2,"Feature2","troot(x4*x4)",0.0598506533666632
"S3",2,"Feature3","x2",0.00657894154802784
"S4",2,"Feature1","troot(x4*(x4*x9))",0.999999999999925
"S5",2,"Feature1","x4",0.932711010474189
"S5",2,"Feature2","x9*(x4*pm05(x4))",0.863039494250843
"S5",2,"Feature3","x4*pm05(x4)",0.134064121714509
"S5",2,"Feature4","x9*x4",0.0683381337223874
"S5",2,"Feature5","troot(x9*x4)",0.00289682579776976
"S6",2,"Feature1","troot(x4*x4)*x9",0.940663941792969
"S6",2,"Feature2","troot(x4*x4)",0.0593425125805454
"S1",3,"Feature1","x9*troot(x4*x4)",0.940696417859366
"S1",3,"Feature2","troot(x4*x4)",0.0593099982698403
"S2",3,"Feature1","troot((x4*x4)*x6)",0.998001233680921
"S2",3,"Feature2","troot(x4*x4)",0.00199897460721598
"S3",3,"Feature1","x4",0.712330111856703
