"Experiment","Run","F1","F2","F3","F4","Count_FP","Correlation","Correlation_FP","MAE","RMSE","LMP","R2","Count_P","Time","First","Second","Third","FirstM","SecondM","ThirdM"
"S1",1,FALSE,FALSE,FALSE,FALSE,1,0.99999974420151,0.99999974420151,0.0764925191986113,0.379556098747415,-24.0166299391974,0.995132414551949,1,2561.248,"troot(x4*x4)*x9",NA,NA,1,NA,NA
"S2",1,FALSE,TRUE,FALSE,FALSE,0,0.999999647456683,NA,0.0608555234530857,0.303914081799304,-22.889285690445,0.996879219074528,1,2530.615,"troot(x9*(x4*x4))",NA,NA,0.999999999993816,NA,NA
"S3",1,FALSE,FALSE,FALSE,FALSE,1,0.99999974420151,0.99999974420151,0.0626486149495205,0.307984754141287,-24.0166299391974,0.99679505874849,1,2448.772,"troot(x4*x4)*x9",NA,NA,0.92996650795938,NA,NA
"S4",1,FALSE,TRUE,FALSE,FALSE,0,0.999999647456683,NA,0.0569381835333888,0.284161554962684,-22.889285690445,0.997271699032075,1,2420.438,"troot((x4*x9)*x4)",NA,NA,0.943079146241396,NA,NA
"S5",1,FALSE,FALSE,FALSE,FALSE,3,0.736363219253691,0.736363219253691,0.0574938206918005,0.283384764971501,-24.0166299391974,0.99728659492593,3,2562.174,"troot(x4*x4)*x9","troot(x4*x4)","x2*x4",0.843721319486299,0.156284428938446,0.103873042220811
"S6",1,FALSE,FALSE,FALSE,FALSE,1,0.99999974420151,0.99999974420151,0.0764963888762242,0.379559098065086,-29.1465286541205,0.995132337622648,1,2440.303,"(troot(x4)*troot(x4))*x9",NA,NA,1,NA,NA
"S1",2,FALSE,FALSE,FALSE,FALSE,2,0.996429304930045,0.996429304930045,0.124367584731669,0.649020264108344,-26.7809518466237,0.985767599722599,2,2533.156,"troot(x4*x4)","x4",NA,0.990842192472096,0.15109890017954,NA
"S2",2,FALSE,FALSE,FALSE,TRUE,0,0.999998921420326,NA,0.0184451762836463,0.0723110696793434,-20.678976752487,0.999823326583351,1,2611.518,"troot(x4*(x4*x7))",NA,NA,0.999999965226404,NA,NA
"S3",2,FALSE,FALSE,FALSE,FALSE,1,0.99999974420151,0.99999974420151,0.0643070186823203,0.317856176328972,-24.0166299391974,0.996586318918555,1,2459.527,"x9*troot(x4*x4)",NA,NA,0.940155754918175,NA,NA
"S4",2,FALSE,TRUE,FALSE,FALSE,0,0.999999647456683,NA,0.0608550264125421,0.303909144028099,-22.889285690445,0.996879320481984,1,2409.412,"troot(x4*(x4*x9))",NA,NA,0.999999999999925,NA,NA
"S5","Mo3",FALSE,FALSE,FALSE,FALSE,3,0.994395083051805,0.994395083051805,0.0559838277842893,0.0953490803960846,-26.996322246006,0.999692818785253,3,2338.924,"x4","x9*(x4*pm05(x4))","x4*pm05(x4)",0.932711010474189,0.863039494250843,0.134064121714509
"S6",2,FALSE,FALSE,FALSE,FALSE,1,0.99999974420151,0.99999974420151,0.0643526131429607,0.317932687543824,-24.0166299391974,0.996584675305241,1,2418.507,"troot(x4*x4)*x9",NA,NA,0.940663941792969,NA,NA
"S1",3,FALSE,FALSE,FALSE,FALSE,1,0.99999974420151,0.99999974420151,0.0643592152782764,0.317964953428293,-24.0166299391974,0.996583982051177,1,2502.063,"x9*troot(x4*x4)",NA,NA,0.940696417859366,NA,NA
"S2",3,TRUE,FALSE,FALSE,FALSE,0,1,NA,0.0016669842286456,0.00759299177963691,-20.5220457792714,0.999998052006536,1,2563.083,"troot((x4*x4)*x6)",NA,NA,0.998001233680921,NA,NA
