"Experiment","Run","Number","Feature","Margs"
"S1",25,"Feature1","x4",0.901038679143783
"S1",25,"Feature2","x4*troot(x4)",0.891785365183941
"S1",25,"Feature3","x10*x4",0.886698819529009
"S1",25,"Feature4","x2*x4",0.113415131099477
"S1",25,"Feature5","troot(x4)*troot(x4)",0.108214668363687
"S1",25,"Feature6","x9",0.105084651322462
"S1",25,"Feature7","x10",0.0342866589545453
"S1",25,"Feature8","x4*x4",0.00520744817468598
"S2",25,"Feature1","troot(x4*(x4*x7))",0.570674139367618
"S2",25,"Feature2","troot(x4*(x4*x6))",0.42932587042233
"S2",25,"Feature3","x9",0.0720464224316596
"S2",25,"Feature4","x7",0.0522252100863227
"S3",25,"Feature1","x4",1
"S3",25,"Feature2","x4*x4",1
"S3",25,"Feature3","(x8*x10)*x4",0.999660241437548
"S3",25,"Feature4","x8*x4",0.830506548037594
"S3",25,"Feature5","troot(x4)",0.351400979020521
"S3",25,"Feature6","sigmoid(troot(x4))",0.00215878383333949
"S4",25,"Feature1","x8*x4",0.999999999345471
"S4",25,"Feature2","troot(x4*x4)",0.95356390872183
"S4",25,"Feature3","x4",0.733332950916244
"S4",25,"Feature4","x9*troot(x4*x4)",0.0464360912781697
"S5",25,"Feature1","troot(x4*x4)",0.999999999998123
"S5",25,"Feature2","x4*x2",0.999956985166167
"S5",25,"Feature3","x4",0.0847193064898237
"S5",25,"Feature4","x1",0.071709950729105
"S5",25,"Feature5","exp_dbl(x6)",0.00140139790027116
"S5",25,"Feature6","sin_deg(x10)",0.00127512359600858
"S6",25,"Feature1","troot(x4*x4)",1
"S6",25,"Feature2","x2*x4",0.996671803867392
"S6",25,"Feature3","x6",0.225957364786619
"S6",25,"Feature4","x3*(x8*x4)",0.00320361511325321
