"Experiment","Run","Number","Feature","Margs"
"S1",1,"Feature1","troot(x4*x4)",0.999999999984406
"S1",1,"Feature2","x4",0.143256888824741
"S1",2,"Feature1","troot(x4*x4)",1
"S1",2,"Feature2","x4*x8",0.41329434759744
"S1",2,"Feature3","p3(x4)",0.0014893075075233
"S2",1,"Feature1","x4",1
"S2",1,"Feature2","troot(x4)",1
"S2",1,"Feature3","x7",0.00588332286701369
"S2",2,"Feature1","troot(x4*x4)",1
"S3",1,"Feature1","troot(x4*x4)*x9",1
"S1",1,"Feature1","x4",1
"S1",1,"Feature2","troot(x4)",0.999999999999916
"S1",1,"Feature3","x1",0.00595401383167599
"S1",2,"Feature1","x4",1
"S1",2,"Feature2","troot(x4)",0.999999592305861
"S1",2,"Feature3","p3(x4)",0.0200842272194032
"S1",2,"Feature4","x5",0.0120458893062705
"S1",2,"Feature5","x7",0.00400755139313782
"S1",2,"Feature6","x6",0.00191334002317786
"S2",1,"Feature1","x4",1
"S2",1,"Feature2","exp_dbl(x3)",1
"S2",1,"Feature3","troot(x4)",1
"S2",2,"Feature1","sigmoid(pm05(x4))",1
"S2",2,"Feature2","x4*x7",1
"S3",1,"Feature1","x4",1
"S3",1,"Feature2","x4*pm05(x4)",1
"S3",2,"Feature1","x4",1
"S3",2,"Feature2","p3(x9)",1
"S3",2,"Feature3","p3(x4)",1
"S3",2,"Feature4","troot(x4)",0.999989525507036
"S3",2,"Feature5","x2",0.0104163506539063
"S4",1,"Feature1","x4",1
"S4",1,"Feature2","x4*(x8*x4)",1
"S4",1,"Feature3","x8*x4",0.999985278029069
"S4",2,"Feature1","troot(x4*x9)",1
"S4",2,"Feature2","x4",1
"S4",2,"Feature3","x4*x4",0.00429374378284164
"S5",1,"Feature1","x4",1
"S5",1,"Feature2","troot(x4)",1
"S5",2,"Feature1","x7*x4",0.941086998723026
"S5",2,"Feature2","x3*(x4*x4)",0.941086243694433
"S5",2,"Feature3","x4",0.0711826676782577
"S5",2,"Feature4","x4*x4",0.0589137590001289
"S6",1,"Feature1","x4",1
"S6",1,"Feature2","troot(x4)",1
"S6",1,"Feature3","x4*x3",0.132466909814065
"S6",2,"Feature1","troot(x4)",1
"S6",2,"Feature2","x4*x6",0.999999776274428
"P1",1,"Feature1","x4",1
"P1",1,"Feature2","troot(x4)",0.999999626601794
"P1",1,"Feature3","p3(x4)",0.0081334557517157
"P1",1,"Feature4","x1",0.00631129401382711
"P1",2,"Feature1","x4",0.859702018093082
"P1",2,"Feature2","troot(x3*x4)",0.640261266688604
"P1",2,"Feature3","troot(x4)",0.196036497862467
"P1",2,"Feature4","troot(x4)*troot(x4)",0.163758663704164
"P1",2,"Feature5","x1",0.00441124223819856
"P2",1,"Feature1","x4",1
"P2",1,"Feature2","x4*x4",0.999999999711728
"P2",1,"Feature3","x2",0.0110195595393521
"P2",1,"Feature4","x10",0.0103615961609826
"P2",2,"Feature1","x4",1
"P2",2,"Feature2","x4*x4",0.999592356222856
"P2",2,"Feature3","x1",0.00619540186812422
"P3",1,"Feature1","x4",0.999999165733802
"P3",1,"Feature2","sigmoid(pm05(x4))",0.999849195710707
"P3",2,"Feature1","x4",0.999999999999994
"P3",2,"Feature2","troot(x4)",0.998857378856662
"P3",2,"Feature3","x4*x3",0.130069706148718
"P3",2,"Feature4","p3(x4)",0.0142512344115678
"P3",2,"Feature5","x8",0.00707383221850502
"P3",2,"Feature6","x7",0.00505963036907596
"P3",2,"Feature7","x4*x4",0.00114230502295163
"P4",1,"Feature1","troot(x4*x4)",0.999990543721868
"P4",1,"Feature2","x1",0.00594740528670492
"P4",1,"Feature3","x5",0.00237743088657945
"P4",1,"Feature4","p3(x4)",0.00234685364661574
"P4",1,"Feature5","x6",0.00233327351097091
"P4",2,"Feature1","x4",1
"P4",2,"Feature2","x4*x4",0.991641468346965
"P4",2,"Feature3","troot(x4)*x3",0.00835853164618854
"P4",2,"Feature4","p3(x4)",0.0083585316461716
"P4",2,"Feature5","x1",0.00590655738594447
"P5",1,"Feature1","x4",1
"P5",1,"Feature2","troot(x4)",0.999999999999977
"P5",2,"Feature1","x4",1
"P5",2,"Feature2","x4*x4",0.999674831626338
"P6",1,"Feature1","x4",1
"P6",1,"Feature2","troot(x4)",0.999999999999996
"P6",1,"Feature3","x5",0.00687227799329297
"P6",2,"Feature1","x4",1
"P6",2,"Feature2","troot(x4)",1
