"Experiment","Run","F1","F2","F3","F4","Count_FP","Correlation","Correlation_FP","MAE","Count_P","Time","FirstFeature","SecondFeature","ThirdFeature"
"S1",1,FALSE,TRUE,FALSE,FALSE,0,0.999999647456682,NA,0.0865254175557669,1,172.411,"troot(x9*(x4*x4))","NA","NA"
"S1",2,FALSE,FALSE,FALSE,FALSE,1,0.999999744201511,0.999999744201511,0.0804069356386031,1,249.855,"troot(x4*x4)*x9","NA","NA"
"S1",3,TRUE,FALSE,FALSE,FALSE,0,1,NA,0.0322850621627851,1,369.088,"troot((x6*x4)*x4)","NA","NA"
"S1",4,FALSE,FALSE,FALSE,FALSE,2,0.999999528185775,0.999999528185775,0.0444161125378416,2,391.3,"x9*troot(x4*x4)","troot(x4*x4)","NA"
"S1",5,FALSE,FALSE,FALSE,FALSE,3,0.997619451353867,0.997619451353867,0.0471682111648464,3,308.083,"troot(x4)*troot(x4)","x9*(troot(x4)*troot(x4))","x4"
"S1",6,FALSE,TRUE,FALSE,FALSE,0,0.999999647456682,NA,0.088140319662138,1,264.596,"troot((x4*x4)*x9)","NA","NA"
"S1",7,FALSE,FALSE,FALSE,FALSE,2,0.994001745179827,0.994001745179827,0.0683566217367403,2,298.901,"x4","(x4*pm05(x4))*x9","NA"
"S1",8,FALSE,FALSE,FALSE,FALSE,2,0.999999528185775,0.999999528185775,0.0447392269741209,2,313.591,"x9*(troot(x4)*troot(x4))","troot(x4)*troot(x4)","NA"
"S1",9,FALSE,FALSE,FALSE,FALSE,2,0.996429304930045,0.996429304930045,0.144596034590848,2,317.033,"troot(x4*x4)","x4","NA"
"S1","Mod",FALSE,FALSE,FALSE,FALSE,3,0.651563512936131,0.651563512936131,0.127004291210446,3,181.283,"troot(x4*x4)","x4*x8","x4"
"S1",11,FALSE,FALSE,FALSE,TRUE,0,0.999998921420326,NA,0.0446085060075504,1,367.006,"troot((x4*x4)*x7)","NA","NA"
"S1",12,FALSE,FALSE,FALSE,FALSE,1,0.999999744201511,0.999999744201511,0.0804069915929438,1,355.413,"troot(x4*x4)*x9","NA","NA"
"S1",13,FALSE,FALSE,FALSE,FALSE,3,0.790932756364452,0.790932756364452,0.0462365968814966,3,371.795,"troot(x4*x4)","troot(x4*x4)*x9","x3*x4"
"S1",14,FALSE,FALSE,FALSE,FALSE,3,0.651563512936131,0.651563512936131,0.126888920023587,3,374.468000000001,"troot(x4*x4)","x4*x8","x4"
"S1",15,FALSE,TRUE,FALSE,FALSE,0,0.999999647456682,NA,0.088214603771822,1,359.383000000001,"troot((x4*x4)*x9)","NA","NA"
"S1",16,FALSE,FALSE,FALSE,FALSE,2,0.999999528185775,0.999999528185775,0.0447867714345064,2,354.539000000001,"x9*troot(x4*x4)","troot(x4*x4)","NA"
"S1",17,TRUE,FALSE,FALSE,FALSE,0,1,NA,0.0322240307181234,1,302.688,"troot(x6*(x4*x4))","NA","NA"
"S1",18,FALSE,FALSE,FALSE,FALSE,1,0.999999744201511,0.999999744201511,0.0804071196499368,1,336.666999999999,"x9*troot(x4*x4)","NA","NA"
