"Experiment","Run","Number","Feature","Margs"
"S1",15,"Feature1","troot(x4*x4)",1
"S1",15,"Feature2","x6*troot(x4*x4)",1
"S1",15,"Feature3","x9",0.460280826528817
"S1",15,"Feature4","x8",0.074753077066014
"S1",15,"Feature5","x6",0.0608843468638351
"S1",15,"Feature6","x10",0.0544289986733265
"S2",15,"Feature1","troot(x4*x4)",1
"S2",15,"Feature2","x7*troot(x4*x4)",1
"S2",15,"Feature3","troot(x4*x4)*x9",1
"S2",15,"Feature4","p3(x5)",0.999999047224397
"S2",15,"Feature5","x7",0.198355547441402
"S2",15,"Feature6","x6",0.0150335938215356
"S3",15,"Feature1","x6*troot(x4*x4)",1
"S3",15,"Feature2","troot(x4*x4)",1
"S3",15,"Feature3","x9",0.581384296140691
"S3",15,"Feature4","x5",0.476554546737113
"S4",15,"Feature1","x9*troot(x4*x4)",1
"S4",15,"Feature2","(x9*troot(x4))*(x9*troot(x4))",1
"S4",15,"Feature3","(x9*troot(x4*x4))*x7",1
"S4",15,"Feature4","x9",0.999992921512114
"S4",15,"Feature5","x7",0.985946477436258
"S4",15,"Feature6","x5*x5",0.879982755168119
"S4",15,"Feature7","x5",0.547662735254823
"S4",15,"Feature8","exp_dbl(x5)",0.130058180821248
"S4",15,"Feature9","x3",0.00990085572632634
"S5",15,"Feature1","troot(x4*x4)*x9",1
"S5",15,"Feature2","(troot(x4*x4)*x9)*x9",0.999999999812365
"S5",15,"Feature3","x8*(x5*x1)",0.999998911303058
"S5",15,"Feature4","(x7*x7)*(troot(x4*x4)*x9)",0.999971510398466
"S5",15,"Feature5","x8",0.82141497336613
"S5",15,"Feature6","x7",0.221636891199321
"S5",15,"Feature7","x5",0.201025888935546
"S6",15,"Feature1","troot(x4)",1
"S6",15,"Feature2","troot(troot(x4)*x4)*(troot(troot(x4)*x4)*x6)",1
"S6",15,"Feature3","troot(troot(x4)*x4)*x6",1
"S6",15,"Feature4","sigmoid(troot(x4))",1
"S6",15,"Feature5","troot(troot(x4)*x4)",0.999999999999991
"S6",15,"Feature6","troot(troot(x4))",0.999999999995936
"S6",15,"Feature7","x6*x4",0.999999999995927
"S6",15,"Feature8","p3(x6)",0.99999999866867
"S6",15,"Feature9","x4",0.999999839658517
