"Experiment","Run","F1","F2","F3","F4","Count_FP","Correlation","Correlation_FP","MAE","RMSE","LMP","R2","Count_P","Time","First","Second","Third","FirstM","SecondM","ThirdM"
"S1",1,TRUE,FALSE,FALSE,FALSE,1,0.999999656085019,0.999999312170039,0.000809586307553598,0.00163731628287768,684.777371260963,0.999999909421151,2,774.704,"troot(x6*(x4*x4))","troot(x4*x4)",NA,1,0.998857447618518,NA
"S2",1,TRUE,FALSE,FALSE,FALSE,4,0.780619246912289,0.725774058640361,0.000841383196752364,0.00179172785989976,687.881431327977,0.999999891530977,5,813.785,"troot((x6*x4)*x4)","x4","x4*x7",1,0.999794420158096,0.548274604456079
"S3",1,FALSE,FALSE,FALSE,FALSE,4,0.537075438630361,0.537075438630361,0.000908032181350234,0.00159487988827554,683.955183587773,0.999999914055597,4,728.463,"troot(x4*x4)","x6*troot(x4*x4)","x9",1,0.999891319576594,0.696567385337595
"S4","Mod4",FALSE,FALSE,FALSE,FALSE,5,0.592525122582957,0.592525122582957,0.00155053776738437,0.00240726252851837,700.057650136979,0.999999804201867,5,672.524,"troot(x4*x4)","troot(x4*x4)*x9","p3(x5)",1,1,0.999999989177395
"S5",1,FALSE,FALSE,FALSE,FALSE,4,0.537075438630361,0.537075438630361,0.000922098294689725,0.00159158738203328,683.955183587772,0.999999914410082,4,677.932,"troot(x4*x4)*x6","troot(x4*x4)","x9",1,1,0.590058656544184
"S6",1,FALSE,TRUE,FALSE,FALSE,6,0.112397639418381,-0.035536028588003,0.00368940971156863,0.0154757053204535,685.804764595744,0.999991907875816,7,742.954000000001,"troot(x4*(x9*x4))","x7","x8*troot(x4*(x9*x4))",1,1,1
"S1",2,FALSE,FALSE,FALSE,FALSE,5,0.284078753547107,0.284078753547107,0.00105781654649498,0.00211276422187754,643.738394510014,0.999999849178345,5,772.333,"troot(1+(x5+((x4*(x4*x8))+(x4*x8))))","troot(x4*((x4*p0(troot(x9)))*x6))","x5",1,1,0.998951074237265
"S2","Mod2",FALSE,FALSE,FALSE,FALSE,11,0.79761889338888,0.79761889338888,0.0333909814678485,0.223750323927543,623.091271379826,0.998308433867757,11,819.461,"x4","x9","troot(x4*(x4*troot(x4)))",1,1,1
"S3",2,FALSE,FALSE,FALSE,FALSE,4,0.537075438630361,0.537075438630361,0.000917693649637677,0.00158984271652432,683.955183587772,0.999999914597623,4,736.377,"x6*troot(x4*x4)","troot(x4*x4)","x9",1,1,0.581589957760119
"S4",2,FALSE,FALSE,FALSE,FALSE,9,0.540556054698485,0.540556054698485,0.00102880540446523,0.00161435781856235,640.310111301443,0.999999911943537,9,1002.979,"x4","x9*x4","troot(x4*x4)",1,1,1
"S5",2,FALSE,FALSE,FALSE,FALSE,10,0.538249658078124,0.538249658078124,0.00436606544262348,0.0140700704097273,553.473881603662,0.999993311108099,10,949.666,"x4*x6","x4","(sin_deg(p0(x4))*x4)*x6",1,1,1
"S6",2,FALSE,FALSE,FALSE,FALSE,11,0.506820583995995,0.506820583995995,0.0121768820899988,0.0628386507308023,607.054916406774,0.999866581719701,11,839.721,"x7","x4","p3(p3(p0(x4)))",1,1,1
"S1",3,FALSE,FALSE,FALSE,FALSE,6,0.512087375773944,0.512087375773944,0.00152757015340925,0.00247384978187018,694.93600650552,0.999999793220117,6,776.272,"troot(x4*x4)*x9","troot(x4*x4)","x7*troot(x4*x4)",1,0.999999999999964,0.999882869170982
"S2",3,FALSE,FALSE,FALSE,FALSE,4,0.748420463189767,0.748420463189767,0.00175397078190457,0.00257626821554236,634.164612772653,0.999999775744147,4,806.418,"troot((x4*x4))*x9","troot(1+((x4*x4)+sin_deg(x4)))","(x7*troot(1+((x4*x4)+x3)))*x9",1,1,1
"S3",3,FALSE,FALSE,FALSE,FALSE,11,0.884491459120993,0.884491459120993,4.76202470398813,34.8613910374358,608.85369037981,-40.0630364414953,11,900.62,"(x4*x3)*x4","x9*x4","troot(x4*x7)",1,1,1
"S4",3,FALSE,FALSE,FALSE,FALSE,4,0.748419530681168,0.748419530681168,0.00167796514990954,0.00248808158413172,699.010338532581,0.999999790834107,4,792.325,"troot(x4*x4)","x9*troot(x4*x4)","p3(x5)",1,1,0.999999999999828
"S5",3,FALSE,FALSE,FALSE,FALSE,7,0.549432659379819,0.549432659379819,0.0015107988207754,0.00254495502775165,619.150289719619,0.999999781162442,7,820.09,"troot(1+(x6+(x4*x4)))","troot(1+(x6+(x4*x4)))*x9","sigmoid(x4)",1,1,0.999999999188327
"S6",3,FALSE,FALSE,FALSE,FALSE,7,0.413111148219673,0.413111148219673,0.00170074758596119,0.00305447500376219,663.470706930872,0.999999684764741,7,810.8,"(x9*troot(x4))*troot(x4)","x9*((x9*troot(x4))*troot(x4))","(x7*x7)*(x9*((x9*troot(x4))*troot(x4)))",1,1,1
"S1",4,FALSE,FALSE,FALSE,FALSE,5,0.592525122582957,0.592525122582957,0.00155042737294576,0.00240696964114017,700.057650136979,0.999999804249509,5,773.581,"troot(x4*x4)*x9","troot(x4*x4)*x7","troot(x4*x4)",1,1,1
"S2",4,TRUE,FALSE,FALSE,FALSE,3,0.782114114595216,0.709485486126955,0.000829745720530873,0.00182629675100589,671.260478723876,0.999999887305083,4,801.455,"(exp_dbl(p0(troot(x4)))*x4)*troot(x6)","x4","x4*x7",1,0.999999999961102,0.99999946034866
"S3",4,FALSE,FALSE,FALSE,FALSE,5,0.578492550727803,0.578492550727803,0.00148786445671584,0.00217510128245323,674.410276142837,0.999999840147069,5,770.453,"(troot(x4)*troot(x4))*x9","(x6*(troot(x4)*troot(x4)))*x7","troot(x4)*troot(x4)",1,1,1
"S4",4,FALSE,FALSE,FALSE,FALSE,5,0.364150630668307,0.364150630668307,0.00161906714179916,0.00292440896070119,688.818045230189,0.999999711039921,5,982.513,"troot(x4*(x9*(x6*x4)))","troot(x4)*troot(x4)","x5*x1",1,1,0.999999565918545
"S5",4,FALSE,FALSE,FALSE,FALSE,7,0.292623631184901,0.292623631184901,0.00189262339929929,0.00407503648007431,533.395432959839,0.999999438920194,7,730.768,"troot(1+(p0(1+(x8+x4))+(exp_dbl(p0(1+(x8+x4)))+((x2*(x4*p0(1+(x8+x4))))+((x6*x4)*x4)))))","x2*x4","x9",1,1,0.98019811306944
"S6",4,FALSE,FALSE,FALSE,FALSE,4,0.537075438630361,0.537075438630361,0.0009163809612813,0.00158706899370112,683.955183587773,0.999999914895358,4,794.435,"troot(x4*x4)","troot(x4*x4)*x6","x9",0.999959060187231,0.995730306161308,0.572519089132109
"S1","Mod1",TRUE,FALSE,FALSE,FALSE,2,0.714245604567977,0.571368414244959,0.00142280327173243,0.00190526832443335,675.216050451472,0.999999877348199,3,661.668,"troot(x4*x4)","troot(((x6*x4)*x4)+1)","x5",1,0.999999999965861,0.945570731727761
"S2",5,TRUE,FALSE,FALSE,FALSE,2,0.983258008676125,0.97488702040718,7.60136086724176,55.8451216609149,662.413246290985,-104.37367304856,3,794.512,"x5*x4","troot(1+((x6*x4)*x4))","p3(x5*x4)",1,1,0.999999923348757
"S3",5,FALSE,FALSE,FALSE,FALSE,3,0.714245288772719,0.714245288772719,0.00122621103761227,0.00173922780389366,663.001318236872,0.999999897794428,3,700.132,"troot(((x4*x6)*x6)*x4)","troot(1+((x4*x4)+x4))","x5",1,1,0.961106542679647
"S4",5,FALSE,FALSE,FALSE,FALSE,14,0.52309116566985,0.52309116566985,0.0766693275216802,0.536587176209445,604.745195606389,0.990271582180674,14,879.395,"x10*x4","x4","troot(x4)",1,1,1
"S5",5,FALSE,FALSE,FALSE,FALSE,3,0.714244403037591,0.714244403037591,0.00097616630438516,0.00160002927358922,683.748086912524,0.999999913499724,3,730.642,"troot(x4*x4)","x6*troot(x4*x4)","x5",1,1,0.422263338843346
"S6",5,FALSE,FALSE,FALSE,FALSE,7,0.440227884925261,0.440227884925261,0.00164500468158899,0.00240928264177154,695.312635688231,0.999999803873111,7,840.029,"troot(x4*x4)","x9*troot(x4*x4)","x7*troot(x4*x4)",1,1,1
"S1",6,FALSE,TRUE,FALSE,FALSE,2,0.664528816420878,0.496793400902976,0.00150588436524989,0.00224832143610594,688.274439086883,0.999999829203708,3,773.128,"x7*(x6*(troot((x4*x9)*x4)*x9))","troot((x4*x9)*x4)","p3(x5)",1,1,0.998712998832179
"S2",6,FALSE,FALSE,FALSE,FALSE,4,0.516812614245192,0.516812614245192,0.000973890639935571,0.0016050958086762,683.748086912524,0.999999912951046,4,750.508,"troot(x4*x4)","x6*troot(x4*x4)","x5",1,0.999999996091363,0.355982370233837
"S3",6,FALSE,FALSE,FALSE,FALSE,3,0.64150431355363,0.64150431355363,0.000984194376760755,0.00164860334530099,673.488289482678,0.999999908168011,3,690.02,"x6*(troot(x4)*troot(x4))","troot(x4)*troot(x4)","x6",1,1,0.129063063684323
"S4",6,FALSE,FALSE,FALSE,FALSE,4,0.516810913741932,0.516810913741932,0.0014417666535381,0.00195374576962659,631.496192350971,0.999999871027316,4,759.269,"exp_dbl(x6)*troot(1+((x4*x4)+x5))","troot(1+((x4*x4)+x5))","x5",1,1,0.906795255803942
"S5",6,FALSE,FALSE,FALSE,FALSE,10,0.624409969170298,0.624409969170298,0.00279526919301955,0.00755311876840916,624.722681651402,0.999998072411781,10,764.414,"(p0(x4)*p0(x4))*troot(x4*x6)","x4*p0(x4)","p0(x4)",1,1,1
"S6",6,FALSE,FALSE,FALSE,FALSE,5,0.400513486281406,0.400513486281406,0.000935309408532879,0.00172692025868323,637.382302197955,0.999999899235813,5,754.327,"x6*troot((x4*x6)*((x4*x6)*x6))","troot((x4*x6)*((x4*x6)*x6))*exp_dbl(x6)","x6",1,0.999999685848756,0.884654458785041
"S1",7,FALSE,FALSE,FALSE,FALSE,9,0.724906290687963,0.724906290687963,0.00315649737277373,0.00936233536921626,649.54400753444,0.999997038375297,9,714.32,"x4*x7","x4","x7",1,1,1
"S2",7,FALSE,FALSE,FALSE,FALSE,5,0.414563800477888,0.414563800477888,0.000945864264978789,0.00160278615290299,683.955183587773,0.999999913201384,5,749.068,"troot(x4*x4)","x6*troot(x4*x4)","x9",0.999999999972956,0.999978211781302,0.675764502227122
"S3",7,FALSE,FALSE,FALSE,FALSE,7,0.579348093006581,0.579348093006581,0.00148181225765509,0.00214964893663443,640.224733471081,0.999999843866277,7,767.909,"troot((troot(x4)*x4)*(x4*(x6*p0(x4))))","troot((troot(x4)*x4)*(x4*x6))","x4",1,1,1
"S4",7,FALSE,FALSE,FALSE,FALSE,6,0.148092025987727,0.148092025987727,0.00351938043420474,0.00800272163075049,633.143146947255,0.999997836100648,6,889.023,"troot(x4*x4)","(x4*x8)*x4","x8*x4",1,1,1
"S5",7,FALSE,FALSE,FALSE,FALSE,4,0.504767663122663,0.504767663122663,0.00123273684242988,0.00184975256978158,606.76448414035,0.999999884391727,4,716.459,"troot(1+(troot((x4*x3)*x3)+(x4*x4)))","x6*troot(1+(troot((x4*x3)*x3)+(x4*x4)))","exp_dbl(x4)",1,1,0.999678753121387
"S6",7,FALSE,FALSE,FALSE,FALSE,7,0.698973755874898,0.698973755874898,0.0123377050660488,0.056439474508857,674.661731759034,0.999892371432773,7,896.443,"troot(x4*x4)","x9*troot(x4*x4)","sigmoid(exp_dbl(x7))",1,1,0.999511852527653
"S1",8,TRUE,FALSE,FALSE,FALSE,3,0.782114214660598,0.709485619547464,0.000895139134304084,0.00184926135873829,687.684548542455,0.999999884453119,4,703.342,"troot((x6*x4)*x4)","x4","x6*x4",1,0.999999999999999,0.999999999999998
"S2",8,FALSE,FALSE,FALSE,FALSE,4,0.742223839579643,0.742223839579643,0.00149904667112253,0.00244610700641842,674.956917355922,0.999999797831942,4,824.864,"troot(x4*x4)","x7*troot(x4*x4)","x9*troot(x4*x4)",1,1,1
"S3",8,TRUE,FALSE,FALSE,FALSE,3,0.744862286374548,0.659816381832731,0.000840202520094484,0.0018117068071643,682.464833670682,0.999999889098488,4,771.534,"troot(x4)*troot(x4*x6)","x4","x4*x9",1,0.999999999751687,0.999999996618293
"S4",8,FALSE,FALSE,FALSE,FALSE,5,0.592562867493806,0.592562867493806,0.00197353274828219,0.002656247440484,643.508295843065,0.999999761604148,5,891.611,"x9*(x9*troot(x4*(x7*x4)))","(troot(troot(x4))*troot(troot(x4)))*troot(troot(x4)*x4)","x5*x5",1,1,0.999999780730047
"S5",8,FALSE,FALSE,FALSE,FALSE,11,0.59335383790473,0.59335383790473,0.00481496366691189,0.0176478940527356,600.10956862377,0.999989476810005,11,790.103,"troot(x4)","p3(p0(x4)*p0(x4))*x9","x4",1,1,1
"S6",8,FALSE,FALSE,TRUE,FALSE,6,0.257262227557957,0.133472633534677,0.00724804291366709,0.0368813846506701,603.030747926738,0.999954040417912,7,860.463,"troot((x4*x9)*(x4*x9))","x9*(x3*(x4*x9))","(x9*(x3*(x4*x9)))*x7",1,0.999999873450758,0.999995994661931
"S1",9,FALSE,FALSE,FALSE,FALSE,5,0.358243645301953,0.358243645301953,0.000909449209860316,0.00157614024982666,683.955183587772,0.999999916063403,5,751.081,"troot(x4*x4)*x6","troot(x4*x4)","x9",1,1,0.538813821878444
"S2",9,TRUE,FALSE,FALSE,FALSE,3,0.747535088878121,0.663380118504161,0.000828715432789232,0.00178236645543218,687.881431327976,0.999999892661472,4,744.326,"troot(x4*(x4*x6))","x4","x7*x4",1,0.981960854803019,0.977299194157147
"S3",9,FALSE,FALSE,TRUE,FALSE,6,0.322522870506913,0.209610050308459,0.00190415030825527,0.00359049876480862,692.930307846024,0.999999564416722,7,742.433,"x7*troot(x4*x4)","troot(x9*x4)*troot(x9*x4)","x5*x5",1,1,0.999996710622988
"S4",9,FALSE,FALSE,FALSE,FALSE,7,0.282444329860309,0.282444329860309,0.00186638868566552,0.00282738635434004,639.070550782826,0.999999729895418,7,836.162,"x6*troot(1+((x4*(x4*x9))+(x6*x6)))","troot(1+((x4*x4)+x4))","x5",1,1,0.998823201754161
"S5",9,FALSE,FALSE,FALSE,FALSE,6,0.517560521539111,0.517560521539111,0.00155053777189846,0.00240726253604628,684.66795399221,0.999999804201865,6,757.286,"(troot(x4)*troot(x4))*x7","troot(x4)*troot(x4)","x9*(troot(x4)*troot(x4))",1,1,1
"S6",9,FALSE,FALSE,FALSE,FALSE,4,0.412120177547471,0.412120177547471,0.00092647731746863,0.00161549117360473,673.551428537306,0.999999911819854,4,779.817,"troot(x4)*troot(x4)","x6*(troot(x4)*troot(x4))","x9",1,1,0.457012597513066
"S1",10,FALSE,FALSE,FALSE,FALSE,4,0.742007616067627,0.742007616067627,0.00163543538761258,0.00240358159973667,692.585885264178,0.999999804800196,4,704.813,"troot(x4*x4)","troot(x4*x4)*x9","x7*troot(x4*x4)",1,1,1
"S2",10,TRUE,FALSE,FALSE,FALSE,4,0.603448798842964,0.504311013000215,0.00145855343253337,0.00234723262148522,658.583315702545,0.999999813845345,5,829.522,"x4","troot(1+(((x4*x6)*x4)+x3))","x4*x9",1,1,0.999999999646611
"S3",10,FALSE,FALSE,FALSE,FALSE,5,0.592525122582957,0.592525122582957,0.0015518953571459,0.0024084791299874,700.057650136978,0.999999804003909,5,691.238,"troot(x4*x4)*x7","troot(x4*x4)","troot(x4*x4)*x9",1,1,1
"S4",10,FALSE,FALSE,FALSE,FALSE,9,0.689939959134013,0.689939959134013,0.0122035070827484,0.0757639060926197,642.509793769986,0.999806051533505,9,808.436,"x6*troot(x4*(x8*x4))","troot(x4*(x8*x4))","troot(x4*(p0(troot(x4))*x4))",1,1,1
"S5",10,FALSE,FALSE,FALSE,FALSE,5,0.400519156341391,0.400519156341391,0.00210904670397081,0.00391218762958077,670.218564558886,0.999999482868507,5,759.584,"troot(x4)*troot(x4)","x9*(troot(x6*x4)*troot(x6*x4))","x7",1,1,0.999999997474885
"S6",10,FALSE,FALSE,FALSE,FALSE,4,0.537075438630361,0.537075438630361,0.000917709889618648,0.00158984407387892,673.695386157928,0.999999914597477,4,821.772,"troot(x4)*troot(x4)","(troot(x4)*troot(x4))*x6","x9",1,0.999971371164227,0.581596919554452
"S1",11,FALSE,FALSE,FALSE,FALSE,3,0.641505399664112,0.641505399664112,0.00124202891706709,0.00188804782100031,645.523331678671,0.999999879555322,3,702.874,"(troot((x4*x4)+x1)*troot(x6))*x9","troot((x4*x4)+x6)*troot(x6)","x6",1,0.921732578958318,0.533471449144888
"S2",11,TRUE,FALSE,FALSE,FALSE,2,0.999998564264298,0.999997846396447,0.000808902339204613,0.00163354059887461,684.777371260963,0.999999909838423,3,782.726,"troot(x4*x4)","troot((x4*x4)*x6)","troot(x4*x4)*x6",0.995994333473632,0.738804282688921,0.265201139044503
"S3","Mod1",FALSE,TRUE,FALSE,FALSE,3,0.491023623086076,0.32136494829865,0.00303379229276863,0.0131773033288454,648.719339693205,0.999994133018456,4,650.696,"troot(1+(x5+(x9*(x4*x4))))","troot(1+(x5+(x9*(x4*x4))))*x6","p3(x5)",1,1,0.999999553586518
"S4",11,FALSE,FALSE,FALSE,FALSE,3,0.668521412733855,0.668521412733855,0.000926886100973885,0.00161896526198257,632.51223881792,0.999999911440186,3,819.041,"troot(p3(troot(x4)))*troot(p3(troot(x4)))","(troot(p3(troot(x4)))*troot(p3(troot(x4))))*x6","x9",1,1,0.522262620242478
"S5",11,TRUE,FALSE,FALSE,FALSE,3,0.782114101805464,0.709485469073952,0.000894189791234835,0.00184813932810363,682.464833670682,0.999999884593292,4,691.452,"x4","x4*x9","troot(x4)*troot(x4*x6)",1,1,1
