"Experiment","Run","Number","Feature","Margs"
"S1",5,"Feature1","x4",0.999999973547017
"S1",5,"Feature2","x4*x10",0.99998023224309
"S1",5,"Feature3","troot(x4)*x4",0.994192504077026
"S1",5,"Feature4","x10",0.152832889285189
"S1",5,"Feature5","x4*x4",0.00582088191515646
"S1",5,"Feature6","x9*x4",0.00401845987256822
"S1",5,"Feature7","x4*x6",0.00385000677343728
"S2",5,"Feature1","troot(x4*x4)",0.999999737511737
"S2",5,"Feature2","x4*x2",0.971559171588228
"S2",5,"Feature3","x8*x4",0.0294290641760312
"S2",5,"Feature4","x4",0.0186249653003552
"S2",5,"Feature5","x7",0.00192190484963392
"S3",5,"Feature1","troot(x4*x4)*troot(x6)",1
"S4",5,"Feature1","troot(x4)*troot(x4)",0.999635636350368
"S4",5,"Feature2","x3*x4",0.996093422935322
"S4",5,"Feature3","x7",0.169550398348559
"S4",5,"Feature4","x4*x4",0.00390672379978201
"S4",5,"Feature5","x7*x4",0.00356612720108099
"S4",5,"Feature6","troot(x4)",0.00276813099540881
"S5",5,"Feature1","troot(x4*x4)",0.999998027720734
"S5",5,"Feature2","x4*x3",0.999991188222246
"S5",5,"Feature3","x7",0.170108937657581
"S5",5,"Feature4","sigmoid(x4)",0.00129497074978168
"S6",5,"Feature1","troot(x4*x4)",1
"S6",5,"Feature2","x2*x4",0.999999973535189
"S6",5,"Feature3","x2",0.204576284300265
"S6",5,"Feature4","x7",0.178379533654772
"S6",5,"Feature5","x4",0.0832068034569131
