"Experiment","Run","Number","Feature","Margs"
"S1",4,"Feature1","troot((x7*x4)*x4)",1
"S1",4,"Feature2","x2",0.259653441337075
"S1",4,"Feature3","exp_dbl(x10)",0.00438027639478875
"S2",4,"Feature1","x4",0.999999999999997
"S2",4,"Feature2","x4*x10",0.999999999999702
"S2",4,"Feature3","x4*troot(x4)",0.999999998541986
"S2",4,"Feature4","x5",0.0726046227092805
"S2",4,"Feature5","sin_deg(x4)",0.0042833201144574
"S2",4,"Feature6","p0(x6)",0.00116285215235181
"S2",4,"Feature7","x4*x8",0.00112237703752135
"S2",4,"Feature8","troot(x4)",0.00108907406150929
"S3",4,"Feature1","x4",1
"S3",4,"Feature2","x4*troot(x4)",0.999999999784661
"S3",4,"Feature3","x4*x10",0.999992764891164
"S3",4,"Feature4","x2",0.228026245227152
"S3",4,"Feature5","sin_deg(x7)",0.00186983094795653
"S3",4,"Feature6","x6*x4",0.00138140306106539
"S3",4,"Feature7","troot(x4)",0.0011256852554398
"S3",4,"Feature8","x4*x4",0.00103593811259061
"S4",4,"Feature1","troot(x4*x4)",1
"S4",4,"Feature2","x3*x4",0.550855744195049
"S4",4,"Feature3","x4",0.458364135019068
"S4",4,"Feature4","x4*x8",0.284519673925489
"S4",4,"Feature5","x4*x9",0.168974148721263
"S4",4,"Feature6","x3",0.0908488026228932
"S4",4,"Feature7","x1",0.0483569730294246
"S5",4,"Feature1","troot(x4*(x4*x6))",1
"S5",4,"Feature2","x4",0.0998598577030657
"S6",4,"Feature1","troot(x4*x4)",1
"S6",4,"Feature2","x6*x4",0.999999999988265
"S6",4,"Feature3","x4",0.999991633646208
"S6",4,"Feature4","x10",0.231622449978182
"S6",4,"Feature5","troot(x4)",0.0844196069360067
"S6",4,"Feature6","x2",0.0181956990060659
