"Experiment","Run","F1","F2","F3","F4","Count_FP","Correlation","Correlation_FP","MAE","RMSE","LMP","R2","Count_P","Time","First","Second","Third","FirstM","SecondM","ThirdM"
"S1",1,FALSE,FALSE,FALSE,TRUE,1,0.996429109555188,0.992859297690051,0.0438480568536121,0.076983897135797,-94.3406692127019,0.999799755119863,2,758.892,"troot((x7*x4)*x4)","x4",NA,1,0.176603374292635,NA
"S2",1,TRUE,FALSE,FALSE,FALSE,0,1,NA,0.032284985949543,0.0332350919047224,-94.5244319535552,0.999962678816784,1,712.608,"troot((x4*x4)*x6)",NA,NA,1,NA,NA
"S3",1,FALSE,FALSE,FALSE,FALSE,2,0.604544956779782,0.604544956779782,0.0387483878492012,0.0602293630038044,-96.7669448270558,0.99987743169623,2,696.308,"troot(x4*x4)","x4*x2",NA,0.999998673016721,0.962080823496506,NA
"S4",1,TRUE,FALSE,FALSE,FALSE,1,0.467672661882095,-0.0646546762358107,0.0318894422596256,0.0332258163652996,-94.5244319535552,0.99996269964572,2,733.242,"troot(x4*(x4*x6))","x7",NA,1,0.120268215405209,NA
"S5",1,FALSE,FALSE,FALSE,TRUE,1,0.996429109555188,0.992859297690051,0.0442256520969315,0.0769235936815783,-94.3406692127019,0.999800068710858,2,654.35,"troot((x4*x4)*x7)","x4",NA,1,0.161830365362674,NA
"S6",1,FALSE,FALSE,FALSE,FALSE,5,0.61625332631582,0.61625332631582,0.164772235413911,0.709343263332263,-106.222360112973,0.982998997429774,5,751.468,"x4","x4*x4","x4*x2",1,1,0.999739437836519
"S1",2,FALSE,FALSE,FALSE,FALSE,3,0.985488592981159,0.985488592981159,0.0930671519862279,0.341644076666887,-99.5125191073178,0.996056249544446,3,727.326,"x4","x4*troot(x4)","x4*x10",1,0.99999984637858,0.999967435602847
"S2",2,FALSE,FALSE,FALSE,FALSE,4,0.720245756702868,0.720245756702868,0.0925848439452363,0.340431952140959,-99.5125191073178,0.99608418409327,4,841.333,"x4*x10","x4","troot(x4)*x4",0.999999999999946,0.99999999952846,0.984614744311168
"S3",2,FALSE,FALSE,FALSE,FALSE,3,0.371839007534399,0.371839007534399,0.0402404354100067,0.0629319145701945,-96.7669448270558,0.999866185392446,3,725.12,"troot(x4*x4)","x4*x2","x2",1,0.999999999865403,0.193768392969673
"S4",2,FALSE,FALSE,FALSE,FALSE,3,0.371839007534399,0.371839007534399,0.0401650039168347,0.0626944976751083,-96.7669448270558,0.999867193145711,3,808.864,"troot(x4*x4)","x4*x2","x2",1,1,0.181813958811194
"S5",2,FALSE,FALSE,FALSE,FALSE,2,0.604544956779782,0.604544956779782,0.0389857100081964,0.0612850755539274,-96.7669448270559,0.99987309723418,2,778.328,"x2*x4","troot(x4*x4)",NA,0.999999994598898,0.999775114853501,NA
"S6",2,FALSE,FALSE,FALSE,FALSE,4,0.284336945897374,0.284336945897374,0.0368066376356847,0.0596534955971258,-101.849184576814,0.999879764301351,4,781.523,"troot(x4*x4)","(x9*x4)*x2","x6",1,0.999891381049838,0.18306236447601
"S1",3,TRUE,FALSE,FALSE,FALSE,0,1,NA,0.0318825051671291,0.0329263159468142,-94.5244319535552,0.999963369072245,1,677.442,"troot(x4*(x4*x6))",NA,NA,1,NA,NA
"S2",3,FALSE,FALSE,FALSE,FALSE,2,0.604544956779782,0.604544956779782,0.0389877238106823,0.0612934646177084,-96.7669448270558,0.999873062489399,2,791.113,"troot(x4*x4)","x2*x4",NA,1,0.999999999999856,NA
"S3",3,FALSE,FALSE,FALSE,FALSE,4,0.715723221996778,0.715723221996778,0.097181298189298,0.345771400781938,-99.5125191073178,0.9959603868753,4,698.841,"x4","x4*troot(x4)","x10*x4",1,0.999999999584868,0.99994454010983
"S4",3,TRUE,FALSE,FALSE,FALSE,1,0.462258623933997,-0.075482752132005,0.0314414490125941,0.0328065455573774,-99.6543306684783,0.999963635079595,2,802.737,"troot(x4*x6)*troot(x4)","x6",NA,0.999999950855672,0.1102861127788,NA
"S5",3,FALSE,FALSE,TRUE,FALSE,0,0.999999791697638,NA,0.0368575688088604,0.0559488348862903,-100.73060235727,0.999894234572353,1,766.391,"troot((x9*x4)*(x9*x4))",NA,NA,1,NA,NA
"S6","Mod2",FALSE,FALSE,FALSE,FALSE,3,0.788552607527299,0.788552607527299,0.0693678397091576,0.242677810649513,-99.877214903911,0.998010143434523,3,673.203,"x3*x4","troot(x4*x4)","x4",0.999999999996793,0.999999999936993,0.156089113378156
