"Experiment","Run","F1","F2","F3","F4","Count_FP","Correlation","Correlation_FP","MAE","Count_P","Time","FirstFeature","SecondFeature","ThirdFeature"
"P1",1,FALSE,FALSE,FALSE,FALSE,3,0.733983070416538,0.733983070416538,0.0321988185296197,3,204.338,"troot(x4*x4)","x2*x4","x4"
"P1",2,FALSE,FALSE,FALSE,FALSE,3,0.371839007534399,0.371839007534399,0.0356768390480781,3,269.082,"troot(x4*x4)","x2*x4","x2"
"P1",3,FALSE,FALSE,FALSE,TRUE,2,0.18914421375888,-0.216283140071844,0.0426038238395906,3,281.654,"troot(x4*(x7*x4))","x6","x3"
"P1",4,FALSE,FALSE,FALSE,FALSE,5,0.579246503231833,0.579246503231833,0.0859178735675208,5,281.712,"x4","x10*x4","x4*troot(x4)"
"P1",6,FALSE,FALSE,FALSE,FALSE,6,0.821736769133237,0.821736769133237,0.0291428279519524,6,307.057,"x4","x8*x4","troot(x4*x4)"
"P1",7,TRUE,FALSE,FALSE,FALSE,1,0.999999656085019,0.999999312170039,0.0305493126790637,2,265.556,"troot((x4*x6)*x4)","troot(x4*x4)","NA"
"P1",8,FALSE,FALSE,FALSE,FALSE,4,0.551592656175278,0.551592656175278,0.0346268353635356,4,272.227,"troot(x4*x4)","x4*x2","x10"
"P1",9,FALSE,FALSE,FALSE,FALSE,2,0.604544956779782,0.604544956779782,0.0389376944933664,2,283.789,"x4*x2","troot(x4*x4)","NA"
"P1",10,FALSE,FALSE,FALSE,FALSE,8,0.779365088414362,0.779365088414362,0.0455472514960584,8,390.943,"troot(x4*x4)","x3*(x4*x6)","x4"
"P1",11,FALSE,FALSE,FALSE,FALSE,5,0.870275502317059,0.870275502317059,0.0491508703984635,5,343.068,"troot(x4*x4)","x4","x4*x6"
"P1",12,FALSE,FALSE,FALSE,TRUE,0,0.999998921420326,NA,0.0441966300048806,1,248.426,"troot(x4*(x7*x4))","NA","NA"
"P1",14,FALSE,FALSE,FALSE,FALSE,6,0.887020724744631,0.887020724744631,0.0695903050459127,6,299.083,"x4","x10*x4","x4*troot(x4)"
"P1",15,FALSE,FALSE,FALSE,FALSE,2,0.604544956779782,0.604544956779782,0.0381425895257636,2,271.552000000001,"troot(x4*x4)","x2*x4","NA"
"P1",16,FALSE,FALSE,FALSE,FALSE,4,0.527094080073312,0.527094080073312,0.0357751017412489,4,307.04,"troot(x4*x4)","x4*x2","x2"
"P1",17,TRUE,FALSE,FALSE,FALSE,1,0.462258623933997,-0.075482752132005,0.0316222886626312,2,284.078,"troot(x4*(x4*x6))","x6","NA"
"P1",18,FALSE,FALSE,FALSE,FALSE,2,0.604544956779782,0.604544956779782,0.0379592391544494,2,273.346,"troot(x4*x4)","x4*x2","NA"
"P1",19,TRUE,FALSE,FALSE,FALSE,3,0.553377831752766,0.404503775670354,0.0305663817212661,4,252.933,"troot((x6*x4)*x4)","troot(x4*x4)","x2*x4"
"P1",20,TRUE,FALSE,FALSE,FALSE,0,1,NA,0.0312426488410849,1,250.356000000001,"troot((x6*x4)*x4)","NA","NA"
"P1",21,FALSE,FALSE,FALSE,FALSE,2,0.604544956779782,0.604544956779782,0.0389231513989146,2,273.452,"troot(x4*x4)","x4*x2","NA"
"P1",22,FALSE,FALSE,FALSE,FALSE,4,0.715723221996778,0.715723221996778,0.0970079305252146,4,322.717,"x4","troot(x4)*x4","x4*x10"
"P1",23,FALSE,FALSE,FALSE,FALSE,2,0.604544956779782,0.604544956779782,0.0381747159385484,2,271.783,"troot(x4*x4)","x4*x2","NA"
"P1",24,FALSE,FALSE,FALSE,TRUE,0,0.999998921420326,NA,0.0445762167186784,1,252.527999999999,"troot((x4*x7)*x4)","NA","NA"
"P1",25,TRUE,FALSE,FALSE,FALSE,1,0.453213554521817,-0.0935728909563669,0.0341089585998817,2,335.55,"troot((x6*x4)*x4)","x2","NA"
"P1",27,TRUE,FALSE,FALSE,TRUE,2,0.724821332038503,0.449643203366842,0.0367493613371289,4,331.314,"troot(x4*(x4*x7))","troot((x4*x4)*x6)","x2"
"P1",28,TRUE,FALSE,FALSE,TRUE,1,0.641505389762774,-0.075482752132005,0.0346161952680987,3,340.026000000001,"troot((x4*x7)*x4)","troot((x4*x6)*x4)","x6"
"P1",29,FALSE,FALSE,FALSE,FALSE,5,0.350258558456313,0.350258558456313,0.0358891738736109,5,285.484,"troot(x4*x4)","x4*x2","x2"
"P1",30,FALSE,FALSE,FALSE,FALSE,3,0.985488592981159,0.985488592981159,0.0898935566663733,3,292.233,"x4","x4*x10","x4*troot(x4)"
"P1",31,TRUE,FALSE,FALSE,FALSE,1,0.462258623933997,-0.075482752132005,0.0309560006014016,2,374.287,"troot(x4*(x4*x6))","x6","NA"
"P1",32,FALSE,FALSE,FALSE,TRUE,2,0.639125155659457,0.458688272779023,0.0425459663414429,3,246.325000000001,"troot(x4*(x4*x7))","x4","x6"
"P1",33,FALSE,FALSE,FALSE,TRUE,2,0.280590451409383,-0.0791137835960888,0.0470079297105304,3,252.126999999999,"troot(x4*(x4*x7))","x2","x7"
"P1",34,FALSE,FALSE,FALSE,FALSE,2,0.604544956779782,0.604544956779782,0.0389670401193506,2,259.918,"troot(x4*x4)","x2*x4","NA"
"P2",1,FALSE,FALSE,FALSE,FALSE,6,0.715182705463938,0.715182705463938,0.0604611594576475,6,334.75,"x4","troot(x4*x4)","troot(x4)*x4"
"P2",2,FALSE,FALSE,FALSE,FALSE,4,0.531616614779402,0.531616614779402,0.0364835300059826,4,342.463,"troot(x4*x4)","x4*x2","x6"
"P2",3,FALSE,FALSE,FALSE,FALSE,4,0.556913253141678,0.556913253141678,0.0609101809319706,4,295.078,"x4","p0(x4)*x4","(x2*x4)*x10"
"P2",4,FALSE,FALSE,FALSE,FALSE,3,0.985488592981159,0.985488592981159,0.0927893199846981,3,286.754999999999,"x4","x10*x4","x4*troot(x4)"
"P2",5,FALSE,FALSE,FALSE,FALSE,3,0.985488592981159,0.985488592981159,0.0839009499308424,3,334.199000000001,"x4","x4*x10","x4*troot(x4)"
"P2",6,FALSE,FALSE,FALSE,FALSE,6,0.353632986457663,0.353632986457663,0.064297430701188,6,286.091,"troot(x4*x4)","x3*x4","x2"
"P2",8,TRUE,FALSE,FALSE,FALSE,2,0.665760237047183,0.498640355570775,0.0316964108508482,3,369.993,"troot((x4*x6)*x4)","x10","x4"
"P2",9,TRUE,FALSE,FALSE,TRUE,1,0.668140111623942,0.00442141345149907,0.0399315670317666,3,324.749,"troot(x4*(x7*x4))","troot((x4*x6)*x4)","x10"
"P2",10,FALSE,FALSE,FALSE,FALSE,3,0.377869053809186,0.377869053809186,0.0376552425971865,3,275.514000000001,"troot(x4*x4)","x2*x4","x6"
"P2",11,FALSE,FALSE,FALSE,FALSE,2,0.604544956779782,0.604544956779782,0.0389882717550421,2,329.296,"troot(x4*x4)","x2*x4","NA"
"P2",12,FALSE,FALSE,FALSE,FALSE,2,0.604544956779782,0.604544956779782,0.0371225362534203,2,279.110000000001,"troot(x4*x4)","x2*x4","NA"
"P2",13,FALSE,FALSE,FALSE,FALSE,4,0.260008567617798,0.260008567617798,0.0351345556119535,4,260.222000000002,"troot(x4*x4)","x4*x2","x2"
"P2",15,FALSE,FALSE,FALSE,FALSE,5,0.83021663477324,0.83021663477324,0.0499697284191623,5,271.67,"x4","x4*x4","x2*x4"
"P2",16,FALSE,FALSE,FALSE,FALSE,6,0.681678823395173,0.681678823395173,0.0294948062164691,6,283.833000000001,"x2*x4","troot(x4*x4)","x6"
"P2",17,TRUE,FALSE,FALSE,TRUE,1,0.668140111623942,0.00442141345149907,0.040073301040475,3,304.449000000001,"troot((x7*x4)*x4)","troot((x6*x4)*x4)","x10"
"P2",18,FALSE,FALSE,FALSE,FALSE,3,0.733983070416538,0.733983070416538,0.034347652660406,3,321.91,"troot(x4*x4)","x2*x4","x4"
