"Experiment","Run","Number","Feature","Margs"
"S1",28,"Feature1","troot(x4*x4)*x6",1
"S1",28,"Feature2","troot(x4*x4)",1
"S1",28,"Feature3","x9",0.559428414540455
"S1",28,"Feature4","x5",0.521419359583217
"S1",28,"Feature5","x3",0.0854250349228938
"S1",28,"Feature6","x9*x9",0.00349192650457016
"S2",28,"Feature1","x5*x5",0.999999194015876
"S2",28,"Feature2","troot(1+((x9*x4)*x4))",0.997396509582513
"S2",28,"Feature3","x6",0.958006673748158
"S2",28,"Feature4","x6*troot(1+((x9*x4)*x4))",0.942064362654061
"S2",28,"Feature5","x7",0.941229716646434
"S2",28,"Feature6","troot(x6)*troot(1+((x9*x4)*x4))",0.0605391277634278
"S2",28,"Feature7","sigmoid(x7)",0.060001981584881
"S2",28,"Feature8","x7*x7",0.0593569902694563
"S2",28,"Feature9","x3",0.00451186212135049
"S2",28,"Feature10","exp_dbl(x5)",0.001029187890299
"S3",28,"Feature1","x4*x4",1
"S3",28,"Feature2","x5",1
"S3",28,"Feature3","x2*(x4*x4)",1
"S3",28,"Feature4","x4",1
"S3",28,"Feature5","x4*x3",1
"S3",28,"Feature6","sigmoid(troot(x4))",1
"S3",28,"Feature7","x10*(x4*x4)",1
"S3",28,"Feature8","x7*x4",1
"S3",28,"Feature9","x9",1
"S3",28,"Feature10","troot(exp_dbl(troot(x4)))",1
"S3",28,"Feature11","troot(x4)",1
"S3",28,"Feature12","x7*(x4*x4)",1
"S3",28,"Feature13","x9*troot(x4)",1
"S3",28,"Feature14","x5*troot(x4)",0.999316313318389
"S3",28,"Feature15","x6",0.995497164408405
"S4",28,"Feature1","troot(x4)*troot(x4)",1
"S4",28,"Feature2","(troot(x4)*troot(x4))*x9",1
"S4",28,"Feature3","x5",0.999999999985737
"S4",28,"Feature4","troot(x4)*x7",0.999998467525062
"S4",28,"Feature5","troot(x4)",0.999998467505425
"S4",28,"Feature6","sigmoid(x5)",0.999926348129802
"S4",28,"Feature7","x4",0.999835127428354
"S4",28,"Feature8","x9",0.982655942994391
"S4",28,"Feature9","x7",0.242377971542926
"S4",28,"Feature10","troot(x9)",0.177992409140206
"S5",28,"Feature1","troot(x7*(x4*x4))*x9",1
"S5",28,"Feature2","troot(x7*(x4*x4))",1
"S5",28,"Feature3","troot(x7)*troot(x7*(x4*x4))",1
"S5",28,"Feature4","x7",0.999999999999923
"S5",28,"Feature5","sin_deg(x7)",0.999999999999792
"S5",28,"Feature6","x5*x5",0.999999999995126
"S5",28,"Feature7","x8",0.560628979364185
"S5",28,"Feature8","x10",0.0486774564291869
"S5",28,"Feature9","sigmoid(x5*x5)",0.0256845199002922
"S6",28,"Feature1","sigmoid(x6)*troot(1+(((x4*x4)*exp_dbl(x4))+(x2+((x4*x4)+troot(x4)))))",1
"S6",28,"Feature2","troot(x2)",0.998110110557024
"S6",28,"Feature3","x5",0.997647706159238
"S6",28,"Feature4","x9*(troot((x4*x8)*(x4*x8))*x7)",0.957990212067586
"S6",28,"Feature5","x9",0.789873468433585
"S6",28,"Feature6","x6*(x9*(x9*troot((x4*x8)*(x4*x8))))",0.0420097879324137
"S6",28,"Feature7","x6",0.00687352389752308
"S6",28,"Feature8","sigmoid(x5)",0.00119070518687849
