"Experiment","Run","Number","Feature","Margs"
"S1",7,"Feature1","x2*x4",0.999581242431462
"S1",7,"Feature2","troot(x4*x4)",0.999580781418634
"S1",7,"Feature3","x3",0.105449920120276
"S1",7,"Feature4","x4",0.0858669836745677
"S1",7,"Feature5","x5",0.0805968803007249
"S2",7,"Feature1","x8*x4",1
"S2",7,"Feature2","troot(x4)*troot(x4)",0.998643958069113
"S2",7,"Feature3","x4",0.671867943139142
"S2",7,"Feature4","x6",0.297609929060198
"S2",7,"Feature5","sin_deg(troot(x4)*x6)*x4",0.00135604193089264
"S3",7,"Feature1","troot(x4*x4)",1
"S3",7,"Feature2","x4*x2",0.999999999999951
"S3",7,"Feature3","x2",0.205022008824074
"S3",7,"Feature4","x7",0.178694637579784
"S3",7,"Feature5","x4",0.0832105350353585
"S4",7,"Feature1","x4*x4",0.99999999999824
"S4",7,"Feature2","x4*x10",0.99999997328227
"S4",7,"Feature3","x4",0.999972324024111
"S4",7,"Feature4","troot(x4)",0.99819116792663
"S4",7,"Feature5","x7",0.109115626063909
"S4",7,"Feature6","(x4*x6)*x8",0.00185769996002747
"S5",7,"Feature1","troot(x4*x4)",0.999999999999976
"S5",7,"Feature2","x4",0.837365772579734
"S5",7,"Feature3","x8*x4",0.579680580379787
"S5",7,"Feature4","x6*x4",0.420321433627716
"S6",7,"Feature1","x10*x4",0.999999999998977
"S6",7,"Feature2","x4",0.999999999992033
"S6",7,"Feature3","x4*troot(x4)",0.999999999889784
"S6",7,"Feature4","x3",0.0771328964450343
"S6",7,"Feature5","x5",0.00564541145253353
