"Experiment","Run","TP","Actual_TP","Count_FP","Correlation","Correlation_FP","RMSE","Count_P","Time","FirstFeature","SecondFeature"
"S1",1,FALSE,FALSE,2,0.0634580961939141,0.0634580961939141,16.5954126858577,2,94.831,"x4","x4*x4"
"S1",2,FALSE,FALSE,2,0.0634580961939141,0.0634580961939141,16.5955104732871,2,94.797,"x4","x4*x4"
"S1",3,FALSE,FALSE,2,0.0634580961939141,0.0634580961939141,16.5948222488627,2,97.182,"x4","x4*x4"
"S1",4,FALSE,FALSE,2,0.0634580961939141,0.0634580961939141,16.5502082553791,2,97.077,"x4","x4*x4"
"S1",5,FALSE,FALSE,3,0.0718909826640523,0.0718909826640523,21.4587483824805,3,103.09,"x4","p2(x4)"
"S1",6,FALSE,FALSE,2,0.0634580961939141,0.0634580961939141,16.5954165044132,2,108.499,"x4","p2(x4)"
"S1",7,FALSE,FALSE,2,0.0634580961939141,0.0634580961939141,16.5952206649298,2,119.191,"x4*x4","x4"
"S1",8,FALSE,FALSE,2,0.0634580961939141,0.0634580961939141,16.5895892464433,2,121.688,"x4","x4*x4"
"S1",9,FALSE,FALSE,2,0.0634580961939141,0.0634580961939141,16.5952471041069,2,123.079,"x4","p2(x4)"
"S1",10,FALSE,FALSE,2,0.0634580961939141,0.0634580961939141,16.5931352667746,2,125.113,"x4","p2(x4)"
"S1",11,FALSE,FALSE,2,0.0634580961939141,0.0634580961939141,16.5949134519277,2,134.521,"x4*x4","x4"
"S1",12,FALSE,FALSE,2,0.0634580961939141,0.0634580961939141,16.5952836581382,2,126.124,"x4","x4*x4"
"S1",13,FALSE,FALSE,3,0.0718909826640523,0.0718909826640523,21.5100291515204,3,120.619,"x4","x4*x4"
"S1",14,FALSE,FALSE,2,0.0742969790096658,0.0742969790096658,44.2899236014743,2,122.691,"x4","p3(x4)"
"S1",15,FALSE,FALSE,2,0.0634580961939141,0.0634580961939141,16.5953582231004,2,134.475,"x4","x4*x4"
"S1",16,FALSE,FALSE,2,0.0634580961939141,0.0634580961939141,16.5931351703008,2,132.792,"x4","x4*x4"
"S1",17,FALSE,FALSE,2,0.0634580961939141,0.0634580961939141,16.0482629928686,2,146.013,"x4","x4*x4"
"S1",18,FALSE,FALSE,2,0.0634580961939141,0.0634580961939141,16.5932346729391,2,122.738,"x4","p2(x4)"
"S1",19,TRUE,FALSE,1,0.0893622339053394,0.0644466709101341,0.727631995724956,2,101.133,"troot(x4*x4)","troot(x4*(x4*x9))"
"S1",20,FALSE,FALSE,2,0.0634580961939141,0.0634580961939141,16.5962415085942,2,119.805,"p2(x4)","x4"
"S1",21,FALSE,FALSE,2,0.0634580961939141,0.0634580961939141,16.5953376182909,2,123.295,"x4","p2(x4)"
"S1",22,FALSE,FALSE,3,0.0718909826640523,0.0718909826640523,21.4848122970575,3,101.329,"x4","p2(x4)"
"S1",23,FALSE,FALSE,2,0.0634580961939141,0.0634580961939141,23.0913078699734,2,105.105,"x4","x4*x4"
"S1",24,FALSE,FALSE,7,0.0721143091315356,0.0721143091315356,40.3013494545902,7,118.891,"x4","p2(x4)"
"S1",25,FALSE,FALSE,3,0.0718909826640523,0.0718909826640523,21.4333831754007,3,122.204,"x4","x4*x4"
"S1",26,FALSE,FALSE,3,0.0718909826640523,0.0718909826640523,21.4321530770021,3,124.053,"x4","x4*x4"
"S1",27,FALSE,FALSE,2,0.0634580961939141,0.0634580961939141,16.0384894334793,2,109.565,"x4","x4*x4"
"S1",28,FALSE,FALSE,2,0.0634580961939141,0.0634580961939141,16.5954879362646,2,115.247,"x4","x4*x4"
"S1",29,FALSE,FALSE,2,0.0634580961939141,0.0634580961939141,16.5952299343974,2,123.139,"x4","p2(x4)"
"S1",30,FALSE,FALSE,2,0.0634580961939141,0.0634580961939141,16.5952873280673,2,136.882,"x4","x4*x4"
"S2",1,FALSE,FALSE,3,0.0718909826640523,0.0718909826640523,21.4078929903295,3,160.391,"x4","p2(x4)"
"S2",2,FALSE,FALSE,3,0.0718909826640523,0.0718909826640523,21.4342067177429,3,148.138,"x4","x4*x4"
"S2",3,FALSE,FALSE,3,0.0718909826640523,0.0718909826640523,21.4837474015432,3,165.232,"x4","x4*x4"
"S2",4,FALSE,FALSE,2,0.0634580961939141,0.0634580961939141,16.5949976659715,2,152.978000000001,"x4","p2(x4)"
"S2",5,FALSE,FALSE,2,0.0634580961939141,0.0634580961939141,16.5953034366992,2,204.205,"x4","x4*x4"
"S2",6,FALSE,FALSE,2,0.0634580961939141,0.0634580961939141,16.5950577032345,2,154.303,"x4","x4*x4"
"S2",7,FALSE,FALSE,2,0.0634580961939141,0.0634580961939141,16.5950284387437,2,115.506,"x4","x4*x4"
"S2",8,FALSE,FALSE,4,0.0859251334538952,0.0859251334538952,21.9409059294184,4,122.89,"x4","p2(x4)"
"S2",9,FALSE,FALSE,2,0.0634580961939141,0.0634580961939141,16.5952874451919,2,147.559,"x4","x4*x4"
"S2",10,FALSE,FALSE,3,0.0718909826640523,0.0718909826640523,21.4091380237252,3,131.216,"x4","x4*x4"
"S2",11,FALSE,FALSE,2,0.0634580961939141,0.0634580961939141,16.595247748132,2,147.712,"x4","p2(x4)"
"S2",12,FALSE,FALSE,2,0.0634580961939141,0.0634580961939141,24.3172869752153,2,201.731,"x4","x4*x4"
"S2",13,FALSE,FALSE,2,0.0634580961939141,0.0634580961939141,16.5953018382432,2,181.001,"x4","x4*x4"
"S2",14,FALSE,FALSE,2,0.0634580961939141,0.0634580961939141,16.595100749921,2,180.125,"x4","x4*x4"
"S2",15,FALSE,FALSE,2,0.0634580961939141,0.0634580961939141,16.051367961763,2,176.266000000001,"x4","p2(x4)"
"S2",16,FALSE,FALSE,2,0.0634580961939141,0.0634580961939141,16.5950908342018,2,176.957,"x4","x4*x4"
"S2",17,FALSE,FALSE,2,0.0634580961939141,0.0634580961939141,16.5953219184164,2,188.065,"x4","x4*x4"
"S2",18,FALSE,FALSE,2,0.0634580961939141,0.0634580961939141,16.5951594413302,2,209.151,"x4","x4*x4"
"S2",19,FALSE,FALSE,2,0.0634580961939141,0.0634580961939141,16.5951863201547,2,197.740000000001,"x4","x4*x4"
"S2",20,FALSE,FALSE,2,0.0634580961939141,0.0634580961939141,16.5952855397931,2,165.081,"x4","p2(x4)"
"S2",21,FALSE,FALSE,2,0.0634580961939141,0.0634580961939141,16.5948960881223,2,182.203,"x4","x4*x4"
"S2",22,FALSE,FALSE,2,0.0634580961939141,0.0634580961939141,16.5952473930564,2,202.147,"x4*x4","x4"
"S2",23,FALSE,FALSE,2,0.0634580961939141,0.0634580961939141,16.5952473166107,2,169.439,"p2(x4)","x4"
"S2",24,FALSE,FALSE,2,0.0634580961939141,0.0634580961939141,16.5952529396059,2,168.536,"x4","x4*x4"
"S2",25,FALSE,FALSE,2,0.0634580961939141,0.0634580961939141,16.5952883864072,2,166.893,"x4","x4*x4"
"S2",26,FALSE,FALSE,2,0.0634580961939141,0.0634580961939141,16.5949892697618,2,186.973,"x4","x4*x4"
"S2",27,FALSE,FALSE,2,0.0634580961939141,0.0634580961939141,16.5952836451597,2,196.597000000001,"x4","x4*x4"
"S2",28,FALSE,FALSE,2,0.0634580961939141,0.0634580961939141,16.5951953995941,2,189.978000000001,"x4*x4","x4"
"S2",29,FALSE,FALSE,2,0.0634580961939141,0.0634580961939141,16.0463110161021,2,158.209000000001,"x4","p2(x4)"
"S2",30,FALSE,FALSE,3,0.0718909826640523,0.0718909826640523,21.4332826075947,3,200.951000000001,"x4","x4*x4"
"S3",1,FALSE,FALSE,2,0.0634580961939141,0.0634580961939141,16.5950654310941,2,199.972,"x4","x4*x4"
"S3",2,FALSE,FALSE,2,0.0634580961939141,0.0634580961939141,16.5963336671948,2,110.237000000001,"x4","p2(x4)"
"S3",3,FALSE,FALSE,2,0.0634580961939141,0.0634580961939141,16.59525308314,2,118.874,"x4","x4*x4"
"S3",4,FALSE,FALSE,2,0.0634580961939141,0.0634580961939141,16.631172965184,2,127.797,"x4","x4*x4"
"S3",5,FALSE,FALSE,3,0.0718909826640523,0.0718909826640523,21.4082269940683,3,116.74,"x4","x4*x4"
"S3",6,FALSE,FALSE,2,0.0634580961939141,0.0634580961939141,16.5958559181864,2,108.805,"x4*x4","x4"
"S3",7,FALSE,FALSE,2,0.0634580961939141,0.0634580961939141,16.5950285612274,2,120.422,"x4","x4*x4"
"S3",8,FALSE,FALSE,2,0.0634580961939141,0.0634580961939141,16.6316295700467,2,113.639000000001,"x4","x4*x4"
"S3",9,FALSE,FALSE,2,0.0634580961939141,0.0634580961939141,16.5831359378158,2,115.367,"x4","x4*x4"
"S3",10,FALSE,FALSE,2,0.0634580961939141,0.0634580961939141,16.5952524354691,2,122.311000000002,"x4","p2(x4)"
"S3",11,FALSE,FALSE,2,0.0634580961939141,0.0634580961939141,16.5952689952046,2,107.188,"x4","x4*x4"
"S3",12,FALSE,FALSE,2,0.0634580961939141,0.0634580961939141,16.5952156087969,2,114.859,"x4","x4*x4"
"S3",13,FALSE,FALSE,2,0.0634580961939141,0.0634580961939141,16.5931239713222,2,107.076999999999,"x4","p2(x4)"
"S3",14,FALSE,FALSE,2,0.0634580961939141,0.0634580961939141,16.5949952906228,2,106.014000000001,"x4","x4*x4"
"S3",15,FALSE,FALSE,3,0.0718909826640523,0.0718909826640523,21.4585594572159,3,121.894,"x4","x4*x4"
"S3",16,FALSE,FALSE,2,0.0634580961939141,0.0634580961939141,16.595248859615,2,143.860000000001,"x4","x4*x4"
"S3",17,FALSE,FALSE,2,0.0634580961939141,0.0634580961939141,16.5951600881264,2,114.483,"x4","p2(x4)"
"S3",18,FALSE,FALSE,2,0.0634580961939141,0.0634580961939141,16.5949804966658,2,118.893,"x4","x4*x4"
"S3",19,FALSE,FALSE,2,0.0634580961939141,0.0634580961939141,16.5344248433155,2,117.964,"x4","x4*x4"
"S3",20,FALSE,FALSE,2,0.0634580961939141,0.0634580961939141,16.5952979997055,2,115.907999999999,"x4","p2(x4)"
"S3",21,FALSE,FALSE,3,0.0718909826640523,0.0718909826640523,21.4262695657948,3,100.203,"x4","x4*x4"
"S3",22,FALSE,FALSE,2,0.0634580961939141,0.0634580961939141,16.5952868451709,2,97.2510000000002,"x4","p2(x4)"
"S3",23,FALSE,FALSE,2,0.0634580961939141,0.0634580961939141,16.593447181434,2,98.4920000000002,"x4","x4*x4"
"S3",24,FALSE,FALSE,2,0.0634580961939141,0.0634580961939141,16.5928966914161,2,101.700999999999,"x4","x4*x4"
"S3",25,FALSE,FALSE,3,0.0718909826640523,0.0718909826640523,21.4878118215307,3,115.110999999999,"x4","p2(x4)"
"S3",26,FALSE,FALSE,2,0.0634580961939141,0.0634580961939141,16.5950571776201,2,121.331,"x4","x4*x4"
"S3",27,FALSE,FALSE,2,0.0634580961939141,0.0634580961939141,16.5953039927091,2,108.832999999999,"x4","x4*x4"
"S3",28,FALSE,FALSE,2,0.0634580961939141,0.0634580961939141,16.5954678579049,2,94.7419999999984,"x4","x4*x4"
"S3",29,FALSE,FALSE,2,0.0634580961939141,0.0634580961939141,16.5956422649721,2,133.236000000001,"x4","p2(x4)"
"S3",30,FALSE,FALSE,2,0.0634580961939141,0.0634580961939141,16.5956369373039,2,123.405000000001,"x4","x4*x4"
"S4",1,FALSE,FALSE,2,0.0634580961939141,0.0634580961939141,16.5952908730953,2,137.300999999999,"x4*x4","x4"
"S4",2,FALSE,FALSE,3,0.0718909826640523,0.0718909826640523,21.43261717977,3,131.392,"x4","p2(x4)"
"S4",3,FALSE,FALSE,2,0.0634580961939141,0.0634580961939141,16.5952819313266,2,143.263999999999,"x4","x4*x4"
"S4",4,FALSE,FALSE,2,0.0634580961939141,0.0634580961939141,16.595974225271,2,132.402,"x4","x4*x4"
"S4",5,FALSE,FALSE,2,0.0634580961939141,0.0634580961939141,16.5952433219721,2,165.52,"x4","x4*x4"
"S4",6,FALSE,FALSE,2,0.44490157895975,0.44490157895975,3.37837591032128,2,161.870999999999,"x4*x6","troot(x4)"
"S4",7,FALSE,FALSE,2,0.0634580961939141,0.0634580961939141,16.5952786550604,2,169.690999999999,"x4","p2(x4)"
"S4",8,FALSE,FALSE,2,0.0634580961939141,0.0634580961939141,16.5952921252489,2,165.805,"x4","x4*x4"
"S4",9,FALSE,FALSE,2,0.0634580961939141,0.0634580961939141,16.5956374464576,2,176.621000000001,"x4","x4*x4"
"S4",10,FALSE,FALSE,2,0.0634580961939141,0.0634580961939141,16.5952475313436,2,122.614,"x4","x4*x4"
"S4",11,FALSE,FALSE,2,0.0634580961939141,0.0634580961939141,16.5951386042628,2,129.152,"x4","x4*x4"
"S4",12,FALSE,FALSE,2,0.0634580961939141,0.0634580961939141,16.5642835610969,2,176.755000000001,"x4","x4*x4"
"S4",13,FALSE,FALSE,3,0.0718909826640523,0.0718909826640523,21.4583696129861,3,153.829,"x4","x4*x4"
"S4",14,FALSE,FALSE,2,0.0634580961939141,0.0634580961939141,16.5953173394057,2,130.153,"x4","x4*x4"
"S4",15,FALSE,FALSE,2,0.0634580961939141,0.0634580961939141,16.5952218910558,2,154.418,"x4","x4*x4"
"S4",16,FALSE,FALSE,2,0.0634580961939141,0.0634580961939141,16.5958559066696,2,125.367,"x4","x4*x4"
"S4",17,FALSE,FALSE,2,0.0634580961939141,0.0634580961939141,16.5952533680207,2,134.620999999999,"x4","x4*x4"
"S4",18,FALSE,FALSE,2,0.0634580961939141,0.0634580961939141,16.5930987190011,2,118.307999999999,"x4","x4*x4"
"S4",19,FALSE,FALSE,2,0.0634580961939141,0.0634580961939141,16.5954603094838,2,126.275,"x4","p2(x4)"
"S4",20,FALSE,FALSE,3,0.0718909826640523,0.0718909826640523,21.4594704021889,3,121.191000000001,"x4","x4*x4"
