"Experiment","Run","F1","F2","F3","F4","Actual_TP","Count_FP","Correlation","Correlation_FP","RMSE","Count_P","Time","FirstFeature","SecondFeature","ThirdFeature"
"S1",1,FALSE,FALSE,FALSE,FALSE,FALSE,9,0.318592660491779,0.318592660491779,46.2050629741433,9,25.7560000000085,"x4","x4*x4","p2(x4*x4)"
"S1",2,FALSE,FALSE,FALSE,FALSE,FALSE,2,0.959301213035369,0.959301213035369,16.5921751531023,2,25.8389999999927,"x4","x4*x4",""
"S1",3,FALSE,FALSE,FALSE,FALSE,FALSE,3,0.989477239327012,0.989477239327012,0.463792240761682,3,19.5920000000042,"troot(x4)*troot(x4)","x4","troot(x4)"
"S2",1,FALSE,FALSE,FALSE,FALSE,FALSE,2,0.959301213035369,0.959301213035369,16.5931170206286,2,28.0760000000009,"x4","x4*x4",""
"S2",2,FALSE,FALSE,FALSE,FALSE,FALSE,2,0.959301213035369,0.959301213035369,16.5953395763184,2,23.6589999999997,"p2(x4)","x4",""
"S2",3,FALSE,FALSE,FALSE,FALSE,FALSE,2,0.959301213035369,0.959301213035369,16.5922685297009,2,21.6679999999906,"x4","x4*x4",""
"S3",1,FALSE,FALSE,FALSE,FALSE,FALSE,2,0.959301213035369,0.959301213035369,16.5928711235294,2,22.198000000004,"x4","p2(x4)",""
"S3",2,FALSE,FALSE,FALSE,FALSE,FALSE,2,0.959301213035369,0.959301213035369,16.5951393751305,2,25.5979999999981,"x4","x4*x4",""
"S3",3,FALSE,FALSE,FALSE,FALSE,FALSE,3,0.923324584770291,0.923324584770291,21.4308220186089,3,21.8690000000061,"x4","x4*x4","p3(x4)"
"S4",1,FALSE,FALSE,FALSE,FALSE,FALSE,2,0.959301213035369,0.959301213035369,16.5954654074235,2,24.8480000000127,"x4","x4*x4",""
"S4",2,FALSE,FALSE,FALSE,FALSE,FALSE,2,0.959301213035369,0.959301213035369,16.5671511530048,2,20.6820000000007,"x4*x4","x4",""
"S4",3,FALSE,FALSE,FALSE,FALSE,FALSE,2,0.959301213035369,0.959301213035369,16.5956418325071,2,21.7140000000072,"x4","x4*x4",""
"S5",1,FALSE,FALSE,FALSE,FALSE,FALSE,2,0.959301213035369,0.959301213035369,16.5953186622543,2,17.8819999999978,"x4","p2(x4)",""
