"Experiment","Run","F1","F2","F3","F4","Count_FP","Correlation","Correlation_FP","RMSE","Count_P","Time","FirstFeature","SecondFeature","ThirdFeature"
"S1",1,FALSE,FALSE,TRUE,FALSE,0,0.999999791697638,NA,0.0418937078657706,1,215.652,"p2(troot(x9*x4))","",""
"S1",2,FALSE,FALSE,FALSE,FALSE,1,0.999999744201511,0.999999744201511,0.379569517453321,1,452.954,"p2(troot(x4))*x9","",""
"S1",3,FALSE,FALSE,FALSE,FALSE,1,0.999999744201511,0.999999744201511,0.379571862269607,1,671.338,"x9*troot(p2(x4))","",""
"S2",1,FALSE,FALSE,FALSE,FALSE,1,0.999999744201511,0.999999744201511,0.317485401319332,1,622.346,"x9*troot(x4*x4)","",""
"S2",2,FALSE,TRUE,FALSE,FALSE,0,0.999999647456682,NA,0.303900986215635,1,779.699,"troot((x4*x9)*x4)","",""
"S2",3,FALSE,FALSE,FALSE,FALSE,1,0.999999744201511,0.999999744201511,0.317986311990332,1,774.508,"p2(troot(x4))*x9","",""
"S3",1,FALSE,FALSE,FALSE,FALSE,1,0.999999744201511,0.999999744201511,0.379533921975051,1,919.023,"x9*troot(x4*x4)","",""
"S3",2,FALSE,FALSE,FALSE,FALSE,2,0.996429304930045,0.996429304930045,0.650990760867463,2,978.747,"p2(troot(x4))","x4",""
"S3",3,FALSE,FALSE,FALSE,FALSE,1,0.999999744201511,0.999999744201511,0.379571875808744,1,823.523999999999,"x9*troot(x4*x4)","",""
"S4",1,FALSE,TRUE,FALSE,FALSE,0,0.999999647456682,NA,0.303916303524522,1,794.534,"troot(p2(x4)*x9)","",""
"S4",2,FALSE,FALSE,FALSE,TRUE,0,0.999998921420326,NA,0.0723340064611448,1,846.819,"troot(x7*p2(x4))","",""
"S4",3,FALSE,FALSE,FALSE,FALSE,1,0.999999744201511,0.999999744201511,Inf,1,830.316000000001,"troot(p2(x4))*x9","",""
"S5",1,FALSE,FALSE,TRUE,FALSE,0,0.999999791697638,NA,0.0433126717914398,1,817.626,"p2(troot(x4*x9))","",""
"S5",2,FALSE,FALSE,FALSE,FALSE,1,0.999999744201511,0.999999744201511,0.379539642935354,1,694.426000000001,"x9*troot(x4*x4)","",""
"S5",3,FALSE,FALSE,FALSE,FALSE,1,0.999999744201511,0.999999744201511,0.317984197341227,1,729.228999999999,"x9*p2(troot(x4))","",""
"S6",1,FALSE,FALSE,TRUE,FALSE,0,0.999999791697638,NA,0.0433126077586153,1,803.243,"p2(troot(x9*x4))","",""
"S6",2,FALSE,FALSE,FALSE,FALSE,1,0.999999744201511,0.999999744201511,0.379380348002944,1,839.428,"troot(x4*x4)*x9","",""
"S6",3,FALSE,FALSE,FALSE,FALSE,1,0.999999744201511,0.999999744201511,0.317988326876714,1,953.204,"(troot(x4)*troot(x4))*x9","",""
"P1",1,FALSE,FALSE,FALSE,TRUE,0,0.999998921420326,NA,0.0748977453905443,1,18119.499,"troot((x4*x7)*x4)","",""
"P1",2,FALSE,FALSE,FALSE,FALSE,1,0.999999744201511,0.999999744201511,0.311744074830822,1,10945.922,"x9*p2(troot(x4))","",""
