"Experiment","Run","F1","F2","F3","F4","Count_FP","Correlation","Correlation_FP","MAE","Count_P","Time","FirstFeature","SecondFeature","ThirdFeature"
"S1",1,FALSE,FALSE,FALSE,FALSE,2,0.99399639384576,0.99399639384576,0.060613737554223,2,97.032,"sqroot(x6*x4)","x4","NA"
"S1",2,FALSE,FALSE,FALSE,FALSE,2,0.994001745179827,0.994001745179827,0.0555497325859888,2,107.676,"x4","sqroot(x4)*x9","NA"
"S1",3,FALSE,FALSE,FALSE,TRUE,0,0.999998921420326,NA,8.97257391979845e+278,1,137.684,"troot(x4)*troot(x4*x7)","NA","NA"
"S1",4,FALSE,FALSE,FALSE,FALSE,2,0.994001745179827,0.994001745179827,0.0602451405527763,2,114.787,"x4","x9*sqroot(x4)","NA"
"S1",5,FALSE,FALSE,FALSE,FALSE,2,0.994001745179827,0.994001745179827,0.060244575044532,2,107.27,"x4","x9*sqroot(x4)","NA"
"S1",6,FALSE,FALSE,FALSE,FALSE,2,0.994001745179827,0.994001745179827,0.0602435205224249,2,110.357,"x4","sqroot(x4)*x9","NA"
"S1",7,FALSE,FALSE,FALSE,FALSE,2,0.994001745179827,0.994001745179827,0.0558732786007974,2,120.387,"x4","sqroot(x4)*x9","NA"
"S1",8,FALSE,FALSE,FALSE,FALSE,2,0.994020528242907,0.994020528242907,0.141267680323992,2,131.59,"x4","sqroot(x4)","NA"
"S1",9,FALSE,FALSE,FALSE,FALSE,2,0.994020701583349,0.994020701583349,0.0929498170212438,2,129.115,"sqroot(x4)","x4*x7","NA"
"S1",10,FALSE,FALSE,FALSE,FALSE,2,0.994001745179827,0.994001745179827,0.055565328929297,2,130.913,"x4","x9*sqroot(x4)","NA"
"S1",11,FALSE,FALSE,FALSE,FALSE,1,0.999999744201511,0.999999744201511,0.0764931524822491,1,129.591,"x9*troot(x4*x4)","NA","NA"
"S1",12,FALSE,FALSE,FALSE,FALSE,2,0.994013015036404,0.994013015036404,0.0896312008986861,2,135.283,"x4*x9","sqroot(x4*x9)","NA"
"S1",13,FALSE,FALSE,FALSE,FALSE,1,0.999999744201511,0.999999744201511,0.0765003918948567,1,115.29,"x9*troot(x4*x4)","NA","NA"
"S1",14,FALSE,FALSE,FALSE,FALSE,2,0.994001745179827,0.994001745179827,0.0601950045985813,2,112.486,"x9*sqroot(x4)","x4","NA"
