"Experiment","Run","F1","F2","F3","F4","Count_FP","Correlation","Correlation_FP","MAE","Count_P","Time","FirstFeature","SecondFeature","ThirdFeature","Taken"
"P1",1,FALSE,FALSE,FALSE,FALSE,3,0.988045313943242,0.988045313943242,0.118725029547977,3,592.15,"troot(x4*x4)","x4","troot(x4)*x9","ja"
"P1",2,FALSE,FALSE,FALSE,FALSE,1,0.99999974420151,0.99999974420151,0.0625536016550278,1,641.34,"x9*troot(x4*x4)","NA","NA","ja"
"P1",3,FALSE,FALSE,FALSE,FALSE,3,0.996013600229108,0.996013600229108,0.0253150881889352,3,578.25,"(troot(x4)*troot(x4))*x9","x4","pm05(x4)*x4","ja"
"P1",4,FALSE,FALSE,FALSE,FALSE,1,0.99999974420151,0.99999974420151,0.0741173552955218,1,579.56,"x9*troot(x4*x4)","NA","NA","ja"
"P1",5,TRUE,FALSE,FALSE,FALSE,0,1,NA,1.23578266094441e+280,1,560.42,"troot(x4*(x6*x4))","NA","NA","ja"
"P1",6,FALSE,FALSE,FALSE,FALSE,2,0.999999528185775,0.999999528185775,0.0439203575582042,2,637.59,"x9*troot(x4*x4)","troot(x4*x4)","NA","ja"
"P1",7,FALSE,FALSE,FALSE,FALSE,2,0.686399262445923,0.686399262445923,0.064721725614557,2,577.81,"troot(x4*x4)","x3*x4","NA"
"P1",8,FALSE,TRUE,FALSE,FALSE,0,0.999999647456683,NA,0.0601756262778957,1,597.57,"troot(x9*(x4*x4))","NA","NA","ja"
"P2",1,TRUE,FALSE,FALSE,FALSE,0,1,NA,7.57096729128824e+200,1,658.72,"troot(x4*(x6*x4))","NA","NA","nei"
"P2",2,FALSE,FALSE,FALSE,FALSE,1,0.99999974420151,0.99999974420151,0.0640758792202822,1,641.5,"troot(x4*x4)*x9","NA","NA","ja"
"P2",3,FALSE,FALSE,FALSE,FALSE,2,0.982068314829844,0.982068314829844,0.162640505147844,2,656.66,"x4","troot(x4)*x9","NA","ja"
"P2",4,FALSE,FALSE,FALSE,FALSE,3,0.733983070416538,0.733983070416538,0.0873562520413896,3,660.360000000001,"troot(x4*x4)","x2*x4","x4","ja"
"P2",5,FALSE,FALSE,FALSE,FALSE,4,0.793473210485902,0.793473210485902,0.187172945661026,4,663.42,"x4","troot(x4)","troot(x4)*troot(x4)","ja"
"P2",6,FALSE,FALSE,FALSE,FALSE,1,0.99999974420151,0.99999974420151,0.0761935702399437,1,637.64,"troot(x4*x4)*x9","NA","NA","ja"
"P2",7,FALSE,TRUE,FALSE,FALSE,0,0.999999647456683,NA,2.86602418135924e+280,1,649.459999999999,"troot((x4*x4)*x9)","NA","NA"
"P2",8,FALSE,FALSE,FALSE,FALSE,3,0.988267557528519,0.988267557528519,0.050305326756643,3,643.210000000001,"(troot(x4)*troot(x4))*x9","x4","troot(x4)"
"P3",1,TRUE,FALSE,FALSE,FALSE,0,1,NA,0.00173528280773002,1,557.58,"troot((x6*x4)*x4)","NA","NA","ja"
"P3",2,FALSE,FALSE,FALSE,FALSE,2,0.999999528185775,0.999999528185775,0.051385673357134,2,611.09,"troot(x4*x4)*x9","troot(x4*x4)","NA","ja"
"P3",3,FALSE,FALSE,FALSE,FALSE,2,0.999999528185775,0.999999528185775,0.0548413084601696,2,635.01,"troot(x4*x4)*x9","troot(x4*x4)","NA","ja"
"P3",4,FALSE,FALSE,FALSE,FALSE,2,0.604544956779782,0.604544956779782,0.0752752729957173,2,627.52,"troot(x4*x4)","x4*x2","NA","ja"
"P3",5,FALSE,FALSE,FALSE,TRUE,0,0.999998921420326,NA,0.015655738088691,1,585.800000000001,"troot((x4*x7)*x4)","NA","NA"
