"Experiment","Run","F1","F2","F3","F4","Count_FP","Correlation","Correlation_FP","MAE","Count_P","Time","FirstFeature","SecondFeature","ThirdFeature"
"P1","Mod",FALSE,FALSE,FALSE,FALSE,2,0.999999528185775,0.999999528185775,0.0334352163602359,2,599.84,"troot(x4*x4)*x9","troot(x4*x4)","NA"
"P1",2,FALSE,FALSE,FALSE,FALSE,2,0.996429304930045,0.996429304930045,0.138752519800436,2,588.62,"troot(x4*x4)","x4","NA"
"P1",3,FALSE,FALSE,FALSE,FALSE,4,0.800487238862781,0.800487238862781,0.0747878148623533,4,621.6,"troot(x4*x4)","troot(x4*x4)*x9","x4*x2"
"P1",4,FALSE,FALSE,FALSE,FALSE,2,0.999999528185775,0.999999528185775,0.0495020232626006,2,562.8,"x9*troot(x4*x4)","troot(x4*x4)","NA"
"P1",5,FALSE,FALSE,FALSE,FALSE,2,0.996429304930045,0.996429304930045,0.148430465416069,2,578.76,"troot(x4*x4)","x4","NA"
"P1",6,FALSE,TRUE,FALSE,FALSE,0,0.999999647456683,NA,0.0914504339599554,1,573.02,"troot(x9*(x4*x4))","NA","NA"
"P1",7,FALSE,FALSE,FALSE,FALSE,2,0.996429304930045,0.996429304930045,0.152346843181415,2,590.89,"troot(x4*x4)","x4","NA"
"P1","Mod",FALSE,FALSE,FALSE,FALSE,2,0.996429304930045,0.996429304930045,0.147136121295408,2,585.42,"troot(x4*x4)","x4","NA"
"P1",9,FALSE,FALSE,FALSE,FALSE,3,0.997619451353867,0.997619451353867,0.0445176126414054,3,593.82,"troot(x4*x4)*x9","troot(x4*x4)","x4"
"P1",10,FALSE,FALSE,FALSE,FALSE,2,0.996429304930045,0.996429304930045,0.142335600607282,2,604.28,"troot(x4*x4)","x4","NA"
"P1",11,FALSE,TRUE,FALSE,FALSE,1,0.999999479813361,0.999999312170039,0.0966750047660993,2,600.59,"troot((x4*x9)*x4)","troot(x4*x4)","NA"
"P1",12,FALSE,FALSE,FALSE,FALSE,3,0.733983070416538,0.733983070416538,0.109800924049467,3,599.78,"troot(x4*x4)","x4*x2","x4"
"P1",13,FALSE,FALSE,FALSE,FALSE,2,0.996429304930045,0.996429304930045,0.145698717948488,2,609.27,"troot(x4*x4)","x4","NA"
"P1",14,FALSE,FALSE,FALSE,FALSE,3,0.736363219253691,0.736363219253691,0.0653942826985392,3,579.14,"troot(x4*x4)","x9*troot(x4*x4)","x4*x2"
"P1",15,TRUE,FALSE,FALSE,FALSE,0,1,NA,0.0303733824041016,1,609.389999999999,"troot(x4*x6)*troot(x4)","NA","NA"
"P1","Mod",FALSE,FALSE,FALSE,FALSE,2,0.999999528185775,0.999999528185775,0.0430502326688367,2,607.08,"troot(x4*x4)*x9","troot(x4*x4)","NA"
"P1",17,FALSE,TRUE,FALSE,FALSE,0,0.999999647456683,NA,0.0912532356878796,1,584.889999999999,"troot(x4*(x9*x4))","NA","NA"
"P1",18,FALSE,TRUE,FALSE,FALSE,0,0.999999647456683,NA,0.0817242457528968,1,605.049999999999,"troot(x4*(x9*x4))","NA","NA"
"P1",19,FALSE,FALSE,FALSE,FALSE,3,0.997619451353867,0.997619451353867,0.106731865419679,3,603.27,"troot(x4*x4)","x9*troot(x4*x4)","x4"
"P1",20,FALSE,FALSE,FALSE,FALSE,2,0.996429304930045,0.996429304930045,0.142799736180324,2,609.23,"troot(x4*x4)","x4","NA"
