"Experiment","Run","TP","Actual_TP","Count_FP","Correlation","Count_P"
"S1",1,FALSE,FALSE,0,2,0
"S2",1,FALSE,FALSE,0,2,0
"S3",1,FALSE,FALSE,0,2,0
"S4",1,FALSE,FALSE,0,2,0
"S5",1,FALSE,FALSE,0,2,0
"S6",1,FALSE,FALSE,0,2,0
"P1",1,FALSE,FALSE,0,2,0
"P2",1,FALSE,FALSE,0,2,0
"P3",1,FALSE,FALSE,0,2,0
"P4",1,FALSE,FALSE,0,2,0
"P5",1,FALSE,FALSE,0,2,0
"P6",1,FALSE,FALSE,0,2,0
"S1",1,FALSE,FALSE,0,2,0
"S2",1,FALSE,FALSE,0,2,0
"S3",1,FALSE,FALSE,0,2,0
"S4",1,FALSE,FALSE,0,2,0
"S5",1,FALSE,FALSE,0,2,0
"S6",1,FALSE,FALSE,0,2,0
"P1",1,FALSE,FALSE,0,2,0
"P2",1,FALSE,FALSE,0,2,0
"P3",1,FALSE,FALSE,0,2,0
"P4",1,FALSE,FALSE,0,2,0
"P5",1,FALSE,FALSE,0,2,0
"P6",1,FALSE,FALSE,0,2,0
"S1",1,FALSE,FALSE,2,-0.15083934422542,2
"S2",1,FALSE,FALSE,2,-0.15083934422542,2
"S3",1,FALSE,FALSE,2,-0.15083934422542,2
"S4",1,FALSE,FALSE,2,-0.15083934422542,2
"S5",1,FALSE,FALSE,2,-0.15083934422542,2
"S6",1,FALSE,FALSE,2,-0.15083934422542,2
"P1",1,FALSE,FALSE,2,-0.15083934422542,2
"P2",1,FALSE,FALSE,2,-0.15083934422542,2
"P3",1,FALSE,FALSE,6,0.267156566033314,6
"P4",1,FALSE,FALSE,2,-0.15083934422542,2
"P5",1,FALSE,FALSE,2,-0.15083934422542,2
"P6",1,FALSE,FALSE,2,-0.15083934422542,2
