"","MajorAxis","TypeFlag","PlanetaryMassJpt","RadiusJpt","PeriodDays","Eccentricity","HostStarMassSlrMass","HostStarRadiusSlrRad","HostStarMetallicity","HostStarTempK","PlanetaryDensJpt"
"1",0.143,0,0.25,0.84,19.22418,0.0626,1.07,1.02,0.12,5777,0.421795702407947
"2",0.229,0,0.17,0.82,39.03106,0.0684,1.07,1.02,0.12,5777,0.308324023156948
"3",0.01488,0,0.0195,0.2525,1.58040417,0,0.176,0.2213,0.1,3250,1.2112965046137
"4",0.098,0,0.088,0.44,11.759,0,0.91,0.86,0.3,4950,1.03305785123967
"5",0.04516,0,0.68,1.72,3.10129,0,1.277,1.52,0.28,6075,0.133636032047493
"7",0.0567,0,0.57,1.39,4.411953,0,1.25,1.28,0.04,6230,0.212241572613241
"8",0.3034,2,4.87,1.12,52.50097,0.535,1.353,4.16,-0.07,4850,3.46636980685131
"9",0.0525,0,0.679,1.399,4.166286,0,1.112,1.209,0.09,5948,0.247979985804873
"11",0.0379,0,0.378,1.115,2.7817387,0,0.938,0.976,-0.23,5600,0.27268873527704
"13",0.0726,0,0.66,1.4,6.24668005,0.0519,1.31,6.3,0.11,4550,0.240524781341108
"14",0.05379,0,0.5,1.407,4.3530135,0,1.187,1.559,0,5989,0.17950961357686
"16",0.027,0,0.505,0.96,2.455239,0.11,0.59,0.55,0.08,3820,0.57079173900463
"17",0.0487,0,1.077,1.03,4.1877537,0,0.88,1.06,0.18,5510,0.985607567123353
"18",0.0378,0,1.169,1.178,2.797436,0.058,0.929,0.877,0.03,5500,0.715119531599619
"20",0.0667,0,0.778,1.107,5.72318,0.095,1.207,1.224,0.21,6087,0.573504373773977
"22",0.1623,0,3.191,1.095,21.2163979,0.6768,1.275,1.508,0.24,6079,2.43043743970439
"23",0.04657,0,0.478,1.537,3.405909,0,1.16,1.24,-0.19,6200,0.1316455835957
"24",0.0526,0,0.52,1.26,4.20474,0,1.09,1.79,0.01,5590,0.259951129187713
