"Experiment","Run","Number","Feature","Margs"
"S1",3,"Feature1","x4",0.999999999999999
"S1",3,"Feature2","x2",0.999999996208354
"S1",3,"Feature3","x3",0.996619641976253
"S1",3,"Feature4","x1",0.546396525547175
"S1",3,"Feature1","x3",1
"S1",3,"Feature2","x10",0.994782352734971
"S1",3,"Feature3","x5",0.993193090385514
"S1",3,"Feature4","x9",0.3566834902114
"S1",3,"Feature5","x1",0.0526065564492251
"S1",3,"Feature6","x2",0.0100298677283178
"S1",3,"Feature1","x1",1
"S1",3,"Feature2","x2",1
"S1",3,"Feature3","x3",1
"S1",3,"Feature4","x4",0.999996962578045
"S1",3,"Feature1","x1",1
"S1",3,"Feature2","x2",1
"S1",3,"Feature3","x3",1
"S1",3,"Feature4","x4",0.99993391894026
"S1",3,"Feature1","x1",1
"S1",3,"Feature2","x2",1
"S1",3,"Feature3","x3",1
"S1",3,"Feature4","x4",1
"S1",3,"Feature5","x5",1
"S1",3,"Feature6","x6",1
"S1",3,"Feature7","x7",1
"S1",3,"Feature8","x8",1
"S1",3,"Feature9","x9",1
"S1",3,"Feature10","x12",1
"S1",3,"Feature11","x13",1
"S1",3,"Feature12","x11",0.130575324693528
"S1",3,"Feature13","x10",0.0448725652785031
