"Experiment","Run","Number","Feature","Margs"
"S1",8,"Feature1","x2*p2(x3)",1
"S1",8,"Feature2","x2*(x2*x3)",1
"S1",8,"Feature3","p3(x2*p2(x3))",1
"S1",8,"Feature4","cos_deg(x2)",1
"S1",8,"Feature5","sin_deg(x2)",1
"S1",8,"Feature6","sin_deg(x3)",0.999999999883491
"S1",8,"Feature7","x3*x3",0.999999999574669
"S1",8,"Feature8","x3",0.814809558963579
"S1",8,"Feature9","x2*x3",0.666684191259394
"S1",8,"Feature10","x3",0.629634566126946
"S1",8,"Feature11","x2",0.62962853858316
"S1",8,"Feature12","x2",0.629628538511937
"S1",8,"Feature13","x2",0.592605579121189
"S1",8,"Feature14","x2*x3",0.333381274857154
"S1",8,"Feature1","p2(troot(x6))",1
"S1",8,"Feature2","sigmoid(1+sin_deg(troot(x12)))",1
"S1",8,"Feature3","x1",1
"S1",8,"Feature4","troot(x12)*x6",1
"S1",8,"Feature5","x12*troot(1+((troot(x12)*x8)+(1+(x11+x11))))",1
"S1",8,"Feature6","x3",1
"S1",8,"Feature7","x12*x6",1
"S1",8,"Feature8","x12",1
"S1",8,"Feature9","x3*x7",1
"S1",8,"Feature10","p2(x11)",0.999999999999977
"S1",8,"Feature11","x4",0.99999999999995
"S1",8,"Feature12","x9*x9",0.999990525018941
"S1",8,"Feature13","x6",0.800000074873025
"S1",8,"Feature14","x9",0.800000070254953
"S1",8,"Feature15","x9",0.720000708459383
"S1",8,"Feature16","x11",0.719998813460344
"S1",8,"Feature17","x6",0.639999451654153
"S1",8,"Feature18","x6",0.59999977537444
"S1",8,"Feature19","x11",0.560001605847644
"S1",8,"Feature1","cos_deg(x1)",0.572241277587364
"S1",8,"Feature2","x1",0.571428106025374
"S1",8,"Feature3","x1",0.571428106025374
"S1",8,"Feature4","x1",0.571428106025374
"S1",8,"Feature5","p3(x1)",0.40656081839421
"S1",8,"Feature1","x5",1
"S1",8,"Feature2","x2",0.99999999999866
"S1",8,"Feature3","x1*x2",0.999999988282801
"S1",8,"Feature4","x3*x1",0.999999973841732
"S1",8,"Feature5","x7",0.999953018609189
"S1",8,"Feature6","x5*x1",0.998669515043786
"S1",8,"Feature7","x6",0.929380222620818
"S1",8,"Feature8","x3",0.849208429668748
"S1",8,"Feature9","x1",0.805486094952989
"S1",8,"Feature10","x1",0.628286225015458
"S1",8,"Feature11","x1",0.592843379253538
"S1",8,"Feature12","x3",0.584619739409256
"S1",8,"Feature13","x1",0.557310750262045
"S1",8,"Feature14","x6",0.513262757329037
"S1",8,"Feature15","x1",0.504655427685347
"S1",8,"Feature16","x1",0.50446620993233
"S1",8,"Feature17","p2(x1)",0.00111903286920668
"S1",8,"Feature1","x6*x3",1
"S1",8,"Feature2","x4",0.999999999886747
"S1",8,"Feature3","x2*x3",0.991452729007508
"S1",8,"Feature4","x2",0.986255308949269
"S1",8,"Feature5","x5",0.476664829470216
"S1",8,"Feature6","x5",0.41725139563736
"S1",8,"Feature7","x3",0.370920944230993
"S1",8,"Feature8","x3",0.360630124514575
"S1",8,"Feature9","x5",0.360553052086137
"S1",8,"Feature10","x2*x2",0.00974338201589518
"S1",8,"Feature1","x26",1
"S1",8,"Feature2","sin_deg(x9)",1
"S1",8,"Feature3","x21",1
"S1",8,"Feature4","x35*x26",1
"S1",8,"Feature5","x19",1
"S1",8,"Feature6","sin_deg(x19)*(x35*x25)",1
"S1",8,"Feature7","x25",1
"S1",8,"Feature8","troot(x19)",1
"S1",8,"Feature9","x7*sigmoid(troot(x33*x7))",1
"S1",8,"Feature10","x10*x19",1
"S1",8,"Feature11","x16",1
"S1",8,"Feature12","sin_deg(x7)*(x21*x16)",1
"S1",8,"Feature13","x17*x19",0.999999999999999
"S1",8,"Feature14","x22",0.999999301994518
"S1",8,"Feature15","x17",0.99975228090585
"S1",8,"Feature16","x7",0.993695731623393
"S1",8,"Feature17","x35",0.981618685760584
"S1",8,"Feature18","x7",0.0171548070296315
"S1",8,"Feature19","x25",0.0171427811152049
"S1",8,"Feature20","x7",0.016399661293042
"S1",8,"Feature21","x35*x25",0.015904248039027
"S1",8,"Feature22","x17",0.00604456080917299
"S1",8,"Feature1","x100",1
"S1",8,"Feature2","x42",1
"S1",8,"Feature3","x102",1
"S1",8,"Feature4","x99",1
"S1",8,"Feature5","x71",1
"S1",8,"Feature6","x62",0.999999999999998
"S1",8,"Feature7","x40",0.999999999999979
"S1",8,"Feature8","x98",0.999999999999978
"S1",8,"Feature9","x10",0.999999096776272
"S1",8,"Feature10","x43",0.99989348806629
"S1",8,"Feature11","x45",0.999682270646327
"S1",8,"Feature12","x70",0.792452520386701
"S1",8,"Feature13","x94",0.283283449437039
"S1",8,"Feature14","x94",0.282965720079549
"S1",8,"Feature15","x40",0.175756412512529
"S1",8,"Feature16","x73*x42",0.0822380054591464
"S1",8,"Feature1","x1",0.999999892741573
"S1",8,"Feature2","x3",0.93954042243703
"S1",8,"Feature3","x2",0.883645350500606
"S1",8,"Feature4","x4",0.17680364187805
