"Data","n","p","Experiment","Run","Correlation","MAE","RMSE","LMP","R2","Count_P","Time","First","Second","Third","FirstM","SecondM","ThirdM"
"_deprecated_195_auto_price",159,16,"S1",5,0.950599099031647,0.0485498678941497,0.0718677455530532,130.630756312849,0.900088773190191,11,868.967000000004,"x5*x7","x12","x5",0.999997129752458,0.997974573870658,0.848266005777078
"_deprecated_207_autoPrice",159,16,"S1",5,0.927800595913882,0.0537646889493488,0.0850412284557051,129.907185415985,0.860103999393575,9,493.872000000003,"x12","x7","x5",0.999635377829942,0.990324658241895,0.981875688616068
"1027_ESL",488,5,"S1",5,0.939689837748343,0.0502851761119429,0.0646555693437868,463.468069689408,0.877247408216095,7,706.637000000002,"x2","x4*x1","x3",0.999999999999923,0.965833064734974,0.730407765711871
"1028_SWD",1000,11,"S1",5,0.590278140427552,0.173203194051818,0.214998012858825,88.1847915907056,0.337197433978701,8,1575.018,"x3","x10","x5",1,0.999999999986063,0.999999926255416
"1029_LEV",1000,5,"S1",5,0.797093888863764,0.11760446571796,0.14546742015935,288.597360965867,0.627195251531565,5,1553.679,"x1","x3","x4",1,1,1
"1030_ERA",1000,5,"S1",5,0.625285083534305,0.154195439167043,0.193163948231031,140.58158921291,0.382205594804284,8,1150.66600000001,"x2","x1","x4",0.78079185741009,0.76246332803382,0.725073087032738
"1089_USCrime",47,14,"S1",5,0.943267044414527,0.0738520284716051,0.0915553790812568,23.7665497763343,0.879646657354299,7,591.722000000009,"x13","x3","x4",0.999914806538479,0.93785370263666,0.784875376475054
"1096_FacultySalaries",50,5,"S1",5,0.9470904128466,0.06978252999475,0.086404365386079,39.8119415056074,0.877846243469051,4,543.949000000008,"x2","x4","x3",0.839551646579006,0.609117793236159,0.555269207645871
"1199_BNG_echoMonths",17496,10,"S1",5,0.653473650246225,0.117839604172802,0.150962008941516,6356.7830009976,0.426359791532432,8,18901.501,"troot(x5)","x8","x3",1,0.999999999999975,0.999999999999961
"192_vineyard",52,3,"S1",5,0.83461899617711,0.136724919196916,0.189127202495176,29.4484927440907,0.368695361922644,2,498.078000000009,"x1","x2","NA",0.999391979370946,0.153126109376657,"NA"
"197_cpu_act",8192,22,"S1",5,0.20877667269941,3.17102800294507,7.71880822637906,13250.7469710449,-1679.13641678635,26,14953.52,"x19*x19","x1","x17*troot(x19)",1,1,1
