"Data","n","p","Experiment","Run","Correlation","MAE","RMSE","LMP","R2","Count_P","Time","First","Second","Third","FirstM","SecondM","ThirdM"
"_deprecated_195_auto_price",159,16,"S1",1,0.884627027133366,0.0666207852867319,0.12653854561904,140.058423599615,0.695020562938464,6,754.010000000009,"cos_deg(x3)","x12","x7",0.999993813980199,0.999910106398656,0.99744476317165
"_deprecated_207_autoPrice",159,16,"S1",1,0.884982008732551,0.0664275942615,0.126043034557986,140.058423599615,0.697404418351221,8,576.728000000003,"x12","x7","cos_deg(x3)",0.999248581624652,0.815452627390103,0.809884818896499
"1027_ESL",488,5,"S1",1,0.926146191186935,0.0522408457673301,0.0655352706240941,464.753264580924,0.856187018402949,8,895.271000000008,"x2","x1","x4",0.999999999456833,0.785910786054538,0.776748969523234
"1028_SWD",1000,11,"S1",1,0.643577164381076,0.165227323668186,0.210410379449087,84.699677431122,0.414040073501208,10,1770.109,"sigmoid(x3)","x10","x5",1,0.999999999991272,0.999999999965934
"1029_LEV",1000,5,"S1",1,0.70834132393899,0.127694652150885,0.16755753617772,324.166330302821,0.496682957818112,5,2019.493,"x2","x3","x4",1,1,1
"1030_ERA",1000,5,"S1",1,0.629120667324608,0.151347980836655,0.191480905175774,138.529464582463,0.393607153894321,4,1265.376,"x1","x2","x3",1,1,0.999999999600883
"1089_USCrime",47,14,"S1",1,0.881798071357275,0.117473136265557,0.143587668188026,33.306483808544,0.726625459694355,10,638.441999999995,"x1","x4","x13",0.833018082052574,0.773498679994068,0.727882301062401
"1096_FacultySalaries",50,5,"S1",1,0.948578465493431,0.0883430277293537,0.114514745132694,40.2482900825505,0.787267221885512,4,385.593999999997,"x4","x4","x2",0.589253639489135,0.581259186289616,0.447510325091958
"1199_BNG_echoMonths",17496,10,"S1",1,0.647769325859761,0.117492802964077,0.150557925803046,6347.56487953473,0.418298552032355,10,28507.105,"x9","x1","x2",1,1,0.999999999763103
"192_vineyard",52,3,"S1",1,0.872332623265954,0.107218564999898,0.163596023491011,26.2036739732768,0.575194051659003,2,493.807000000001,"x1","x2",NA,0.994075073695395,0.241982927151306,NA
"197_cpu_act",8192,22,"S1",1,0.709609043567892,2.88081526885173,3.08184937306923,13428.304957795,-252.621617568449,21,12128.849,"x1","x3","troot(x21)",1,1,1
"201_pol",15000,49,"S1",1,0.881832382570688,0.140458370125755,0.201155081987623,3999.89602898734,0.764858032726979,47,62173.824,"p2(1+(x29+x7))","cos_deg(x29)","(x5*cos_deg(x5))*x8",1,1,1
"210_cloud",108,6,"S1",1,0.970139122621034,0.040227873171064,0.0506073628958038,97.8016616566438,0.922499639153822,5,378.198000000004,"x4","x3","x5",1,0.999999999996436,0.83801420302772
"503_wind",6574,15,"S1",1,0.871689740462997,0.108719454205246,0.1307547910788,5684.9357524429,0.286004294053164,20,8732.07000000001,"x1*x10","p2(x1)","x1",1,1,1
"505_tecator",240,125,"S1",1,0.913954236782715,1.03444386267971,1.05157624265094,542.708252356964,-16.2865656312329,12,1006.86499999999,"x20*x112","x61","x123",1,1,1
"519_vinnie",380,3,"S1",1,0.846751777703274,0.080754128939526,0.103380989705333,240.834829668569,0.703208704337466,2,331.194000000018,"x2","x2",NA,0.666669198569675,0.666669198569675,NA
"522_pm10",500,8,"S1",1,0.438220486405282,0.137527445136616,0.175729836103238,126.651168677165,0.191055240269488,3,528.870999999985,"x3","x3*x1","x1",0.999817790524745,0.558557418837402,0.471029007812259
"523_analcatdata_neavote",100,3,"S1",1,0.989178436165194,0.0450463265991937,0.0675506094421755,53.6972270621169,0.97684380815728,4,348.494000000006,"x1","sin_deg(x1)","x1*x1",0.986956651056929,0.341799640916591,0.341788908252391
"527_analcatdata_election2000",67,15,"S1",1,1,7.08532497379115e-16,2.80108778456098e-15,1847.31001984636,1,14,349.993000000017,"x2","x3","x4",1,1,1
"529_pollen",3848,5,"S1",1,0.89574260879462,0.0477929616205285,0.0610643493438167,3876.24136350478,0.801823951668173,5,2554.44400000002,"x1","x3","x4",1,1,1
"542_pollution",60,16,"S1",1,0.734866214259019,0.0974875520904051,0.122634505462062,28.1027251171874,0.467118971560276,12,363.217999999993,"x6","x9","x12",0.815304236618775,0.798214875861183,0.705302468072376
"547_no2",500,8,"S1",1,0.724306171735792,0.0794747400754029,0.0977339778958895,306.475872894153,0.51932687212777,10,969.277000000002,"x3","x2","troot(x4)",0.999999999448891,0.999998959446084,0.998961571614205
"556_analcatdata_apnea2",475,4,"S1",1,0.284485420299073,0.0515528645141538,0.095484233930432,190.059685009912,-0.110930124919556,6,482.629000000015,"x1","cos_deg(x1)","x1*x1",0.999229067707998,0.992670868412696,0.976614586585576
"557_analcatdata_apnea1",475,4,"S1",1,0.294284991447074,0.0473588797709767,0.0778052467550795,178.799481570605,-0.23656715318096,6,492.368999999977,"p3(x2)","x2","x2",0.999998255330571,0.571428036663507,0.571428031447277
