"Experiment","Run","Number","Feature","Margs"
"S2",8,"Feature1","p2(x3)",1
"S2",8,"Feature2","x1",1
"S2",8,"Feature3","x3",1
"S2",8,"Feature4","x2",1
"S2",8,"Feature5","cos_deg(x2)",1
"S2",8,"Feature6","p3(p3(x1))*x2",1
"S2",8,"Feature7","p3(x1)",1
"S2",8,"Feature8","x4",1
"S2",8,"Feature9","x5",1
"S2",8,"Feature10","cos_deg(1+(x2+(troot(p3(x1))+troot(x1*cos_deg(x1)))))*troot(x2)",1
"S2",8,"Feature11","troot(p3(x1))",1
"S2",8,"Feature12","troot(x2)",1
"S2",8,"Feature13","p3(p3(troot(x1))*sin_deg(x2*x2))*p3(x1)",0.999999999999998
"S2",8,"Feature1","x1",1
"S2",8,"Feature2","sin_deg(sin_deg(x1*(x1*p2(x2))))",1
"S2",8,"Feature3","p3(x1*p2(x2))",1
"S2",8,"Feature4","sin_deg(sin_deg(1+(p2(sin_deg(x1))+x4)))",1
"S2",8,"Feature5","x2",1
"S2",8,"Feature6","sigmoid(cos_deg(x5))*(x1*p2(x2))",1
"S2",8,"Feature7","p2(x1)",1
"S2",8,"Feature8","sin_deg(p3(x1))",1
"S2",8,"Feature9","troot(x1*p2(x2))",1
"S2",8,"Feature10","x3*x2",0.999999861515903
"S2",8,"Feature11","p2(x1*(x1*p2(x2)))",0.877458234489952
"S2",8,"Feature12","p3(sin_deg(p3(1+sigmoid(cos_deg(x5)))))",0.877451287811889
"S2",8,"Feature13","cos_deg(x1*(x1*p2(x2)))",0.122548712188111
"S2",8,"Feature14","troot(p3(1+sigmoid(cos_deg(x5))))",0.122541765477573
"S2",8,"Feature15","p3(x95)",0.122541626993476
"S2",8,"Feature1","x1",1
"S2",8,"Feature2","(x1*x2)*cos_deg(troot(x2))",1
"S2",8,"Feature3","p2(x1)*x2",1
"S2",8,"Feature4","sin_deg(x1*x2)",1
"S2",8,"Feature5","x5",1
"S2",8,"Feature6","x3",1
"S2",8,"Feature7","x2*(p2(x1)*x2)",1
"S2",8,"Feature8","x2",1
"S2",8,"Feature9","x4",1
"S2",8,"Feature10","troot(p3(x2))",1
"S2",8,"Feature11","((p2(x1)*x2)*sin_deg(x1*x2))*troot(p3(x2))",1
"S2",8,"Feature12","p3(x1)",1
"S2",8,"Feature13","p3(x2)",1
"S2",8,"Feature14","x3*x3",1
"S2",8,"Feature15","troot(x1)",0.99999867522357
"S2",8,"Feature1","x2",1
"S2",8,"Feature2","sin_deg(x1*cos_deg(x2))",1
"S2",8,"Feature3","p2(x3)",1
"S2",8,"Feature4","sin_deg(x5)*cos_deg(x2)",1
"S2",8,"Feature5","troot(cos_deg(x2))",1
"S2",8,"Feature6","sin_deg(x4)",1
"S2",8,"Feature7","x2*(troot(sin_deg(x1*cos_deg(x2)))*p2(x1))",1
"S2",8,"Feature8","p2(x1)",0.999999999981708
"S2",8,"Feature9","x1",0.999999997556611
"S2",8,"Feature10","x10",0.0416943418210665
"S2",8,"Feature1","x4",0.999989062804921
"S2",8,"Feature2","sin_deg(x1)",0.999924227459517
"S2",8,"Feature3","x1",0.727296179800047
"S2",8,"Feature4","p3(x1)",0.614950256755168
"S2",8,"Feature5","x1",0.613114444198047
"S2",8,"Feature6","x5",0.610884498635601
"S2",8,"Feature7","x5",0.474157979675113
"S2",8,"Feature8","x5",0.442143029216908
