"Data","n","p","Experiment","Run","Correlation","MAE","RMSE","LMP","R2","Count_P","Time","First","Second","Third","FirstM","SecondM","ThirdM"
"210_cloud",108,6,"S2",3,0.91869048644623,0.0518196814571812,0.0968186124588368,119.991468061276,0.818313415672747,5,379.769000000029,"x4","x3","x2",1,0.999999999988111,0.696237505317361
"503_wind",6574,15,"S2",3,0.873230743292892,0.109729217580044,0.13359798716257,5707.9216930736,0.297276112268502,19,7983.02899999998,"x9","cos_deg(p2(x2))","x13",1,1,1
"505_tecator",240,125,"S2",3,-0.608507819669455,1.60078258813764,2.22065011697279,543.770874179887,-73.9031922261548,31,911.11599999998,"x110","x123","x124",1,1,1
"519_vinnie",380,3,"S2",3,0.897895102177385,0.0723343881385159,0.0873233449235748,227.772445391098,0.80131572884174,2,334.289000000106,"x2","x2","NA",0.666670169345453,0.666664915327281,"NA"
"522_pm10",500,8,"S2",3,0.470427568334065,0.138004251053485,0.181762127563141,126.938620361873,0.20898196204907,2,515.580000000075,"x1","x3","NA",0.999999999323607,0.996640916157281,"NA"
"523_analcatdata_neavote",100,3,"S2",3,0.979967706337757,0.0549370223885135,0.0885236581097371,57.9248974541701,0.958657807832984,3,297.423000000068,"x1","troot(x1)","sin_deg(x1)",0.937856695780825,0.536968606328139,0.475004840973676
"527_analcatdata_election2000",67,15,"S2",3,1,7.02570880353321e-16,2.83415026499659e-15,1795.05715297459,1,15,383.032000000007,"x1","x2","x3",1,1,1
"529_pollen",3848,5,"S2",3,0.895932156880832,0.0471918288247826,0.059535486990355,3854.11489152112,0.802255131382901,4,2572.39199999999,"x1","x2","x4",1,1,1
"542_pollution",60,16,"S2",3,0.646838578621775,0.111667621946176,0.14899929059232,27.0705345013996,0.261320152874715,9,310.474999999977,"x9","x14","x1",0.99550279600347,0.926365967376324,0.875079304528048
"547_no2",500,8,"S2",3,0.738792574666455,0.0849094646710868,0.105641046730615,311.159506621218,0.532998340646535,10,710.540999999968,"x2","troot(x4)","x3",0.999994018701436,0.980674411935354,0.77857257929751
"556_analcatdata_apnea2",475,4,"S2",3,0.360584229757957,0.0509171994974402,0.104795045624238,205.309298480665,0.0565386703768316,5,370.5,"x2*sin_deg(p3(p3(x1)))","x1*x2","x2",0.99999980055566,0.829022936227439,0.207454794890865
"557_analcatdata_apnea1",475,4,"S2",3,0.32031707570361,0.0505442119991971,0.0920617918491747,187.421962058921,0.0137540094119848,6,393.92200000002,"sin_deg(x2)","p3(x2)","x2",0.947510974339509,0.947479436961717,0.571429179615054
"560_bodyfat",252,15,"S2",3,0.974167484650927,0.0097346880620855,0.0456043145332,525.476594157537,0.943838298022151,6,423.814000000013,"x1","sigmoid(x1)","p3(x1)",0.887903254698738,0.306940437693903,0.255277366067362
"561_cpu",209,8,"S2",3,0.996902259477176,0.00319467326264411,0.0049894437604509,575.599370184021,0.99367619830112,11,547.138999999966,"p3(x7*x7)","x4*x6","x3*x4",1,1,1
"562_cpu_small",8192,13,"S2",3,0.961793572163341,0.0382807349526803,0.0521553209621682,9081.64965822318,0.924427794020137,20,10787.8740000001,"x1","sigmoid(x10)*(x12*sin_deg(sigmoid(x10)))","x12*sin_deg(sigmoid(x10))",1,1,1
"573_cpu_act",8192,22,"S2",3,0.729880193041868,1.94597276929405,2.10260524150837,13627.6040838483,-121.823180799471,17,6864.18900000001,"x17","x21","p2(troot(x9))",1,1,1
"579_fri_c0_250_5",250,6,"S2",3,0.912481233225766,0.0691624532888792,0.092321146877104,153.61572309361,0.826485749205897,9,606.351999999955,"x1","x4","p2(x3)",1,1,0.999999999999996
"581_fri_c3_500_25",500,26,"S2",3,0.970953159975112,0.0343004939350583,0.0425499518424735,531.638446468914,0.94204192272062,11,628.886999999988,"p2(x3)","x1*x2","x1",1,1,1
"582_fri_c1_500_25",500,26,"S2",3,0.938433143297114,0.0549303862051581,0.0693184723779107,369.983083180439,0.878878212620939,13,694.511999999988,"x2","p2(x2)","x3*x3",1,1,1
"583_fri_c1_1000_50",1000,51,"S2",3,0.973727077301698,0.0346290337171785,0.044774196194745,1097.53179136546,0.947849521537406,17,1418.93499999994,"x2","x5","sin_deg(x1*x2)",1,1,1
"584_fri_c4_500_25",500,26,"S2",3,0.975603353067717,0.0229395075784789,0.0368225026267073,602.590943211815,0.951576204970974,16,756.826999999932,"x1*x2","(sin_deg(x1)*x2)*x1","x1",1,1,1
