"Data","n","p","Experiment","Run","Correlation","MAE","RMSE","LMP","R2","Count_P","Time","First","Second","Third","FirstM","SecondM","ThirdM"
"_deprecated_195_auto_price",159,16,"S2",1,0.884571012504131,0.0663887485387003,0.124239394097807,138.076039513694,0.706002572184095,7,396.911000000022,"x12","sin_deg(x3)","x3",0.999678912637309,0.994221566457095,0.816751517147478
"_deprecated_207_autoPrice",159,16,"S2",1,0.940949601082055,0.0515690553199135,0.0872210052095017,139.655280848148,0.855100443421933,6,384.002000000037,"x7","x12","x5*x7",0.999914316003731,0.999287209479201,0.97462807473002
"1027_ESL",488,5,"S2",1,0.927651282202759,0.053258517464166,0.0649092126543327,461.178826867202,0.858921582838826,7,865.568000000028,"x4","x1*x3","x2",1,0.852234714585359,0.723508535096381
"1028_SWD",1000,11,"S2",1,0.653429645662622,0.166009088097294,0.208084990605967,79.7582846735419,0.426920191412694,9,984.21100000001,"x3","x10","x5",0.999999999999998,0.999999999998495,0.99999277428206
"1029_LEV",1000,5,"S2",1,0.70834133112973,0.127694645178016,0.167557534348138,324.166330302821,0.496682968809679,5,832.089000000036,"x1","x3","x4",1,1,1
"1030_ERA",1000,5,"S2",1,0.629120667324608,0.151347980836655,0.191480905175774,138.529464582463,0.393607153894321,4,1340.02100000001,"x1","x2","x3",1,1,0.999999999600883
"1089_USCrime",47,14,"S2",1,0.880857168997232,0.120952328503656,0.147246410467448,33.306483808544,0.71251630831546,9,351.266000000003,"x13","x1","x4",0.99999996141272,0.999350185482053,0.997486979817147
"1096_FacultySalaries",50,5,"S2",1,0.948083443179623,0.0917238310962962,0.113750492378929,40.2482900825505,0.790097234556937,5,310.790000000037,"x4","x4","x2",0.731154252758973,0.59483949374614,0.541601174241797
"1199_BNG_echoMonths",17496,10,"S2",1,0.647779100678863,0.117489812108769,0.150556247276593,6347.56487953473,0.418311522400008,7,13879.57,"x8","x9","x1",1,1,0.999999999547761
"192_vineyard",52,3,"S2",1,0.872332623265954,0.107218564999898,0.163596023491011,26.2036739732768,0.575194051659003,2,253.710000000021,"x1","x2",NA,0.994075073695395,0.241982927151306,NA
"197_cpu_act",8192,22,"S2",1,0.719345918549452,1.73876694730532,1.87201412038254,13758.4810220775,-92.579709249176,20,9992.24199999997,"p2(x5)","x1","x21",1,1,1
"201_pol",15000,49,"S2",1,0.901478898720963,0.136359993085678,0.180471088915228,2829.50721044652,0.810729291993242,37,28280.2720000001,"troot(1+(x1+(p2(x5)+((sin_deg(troot(troot(x5)))*(x9*p2(troot(x7))))+troot(x5)))))","sin_deg(p2(1+(sin_deg(x5*troot(x7))+troot(sin_deg(cos_deg(x5*troot(x7)))))))","troot(x9*p2(troot(x7)))*x6",1,1,1
"_deprecated_195_auto_price",159,16,"S2",2,0.943018390489796,0.0544767086746546,0.0808206112358528,136.334100110894,0.876217410861224,8,405.146999999997,"x5*x7","x7","x5",0.999999983104405,0.99999913234137,0.999496941188631
"_deprecated_207_autoPrice",159,16,"S2",2,0.939965546977634,0.0530912671282008,0.0815269808092936,132.348422501001,0.874044243685426,8,391.671999999962,"x7","x12","x5",0.999811054858663,0.999480905392042,0.999468431625573
"1027_ESL",488,5,"S2",2,0.924101463997901,0.0549193201928039,0.072819928919395,477.640936448023,0.850235270133134,5,632.790999999968,"x3","x1","x4",1,0.999999999987996,0.999999999911522
"1028_SWD",1000,11,"S2",2,0.674703679275933,0.162642268042906,0.197447169152319,67.6224696453489,0.450517957327323,11,743.407999999996,"x10","x3","x8",0.999999997827754,0.999867661498274,0.996290106947648
"1029_LEV",1000,5,"S2",2,0.71028319136679,0.114835088902113,0.157672217761882,305.93042602026,0.488845130069286,5,1239.48100000003,"x4","x1","x3",1,0.999999994806345,0.997203251641299
"1030_ERA",1000,5,"S2",2,0.573940842158522,0.165537904155183,0.205128060720993,156.673533665788,0.328320642105261,4,1065.11699999997,"x1","x2","x3",1,1,0.99999999999978
"1089_USCrime",47,14,"S2",2,0.907687819108851,0.0951045389886587,0.121934273048357,25.1764124565874,0.730982186008513,10,353.728000000003,"x13","x9","x3",0.999995114554728,0.870555619562357,0.86413604517209
"1096_FacultySalaries",50,5,"S2",2,0.975207273680983,0.055985357240763,0.071618483628704,37.187168513443,0.923587961325082,4,344.428000000014,"x3","x2","x2",0.907776959261189,0.624564210649243,0.622726426809826
"1199_BNG_echoMonths",17496,10,"S2",2,0.662674920935093,0.116902082285033,0.149465364129528,6315.40187072897,0.439059722387576,7,12554.079,"x1","x3","sin_deg(x5)",1,1,1
"192_vineyard",52,3,"S2",2,0.771874158381564,0.104721691730735,0.150251585476186,25.9911666121571,0.555629928719113,2,278.830000000016,"x1","x2",NA,0.995206967150695,0.290313411776906,NA
"197_cpu_act",8192,22,"S2",2,0.686363656355252,1.82209839014329,1.97883526960544,13558.574007506,-114.013242369302,18,9645.84099999996,"x3","troot(x5)","x9",1,1,1
"201_pol",15000,49,"S2",2,0.88689015027595,0.144862216729221,0.191198645828765,2319.8328915787,0.784795535586429,41,37877.495,"x19*x7","sin_deg(troot(p2(p2(x5))))","troot((p2(x9)*p3(x5))*x7)",1,1,1
"_deprecated_195_auto_price",159,16,"S2",3,0.802206041401266,0.0663502240132891,0.113230980394255,131.079488517994,0.634687269127083,8,420.821999999986,"x12","x2","x3",0.993626938154125,0.990335434038334,0.935932830381789
"_deprecated_207_autoPrice",159,16,"S2",3,0.784715230465637,0.0665023844088726,0.117337075570211,131.633051401351,0.607712208982949,8,419.455000000016,"x2","x3*x7","x7",0.999965550635216,0.999611502934652,0.954036805091073
"1027_ESL",488,5,"S2",3,0.941167335936303,0.0494748342108977,0.0615803176657232,458.643883319039,0.885589038459122,7,714.199000000022,"x3","x2","x4*x1",1,0.999999998197707,0.850562603322662
"1028_SWD",1000,11,"S2",3,0.503893064951892,0.178450343287802,0.223091724342357,94.9367243068204,0.174390911648797,12,1197.02599999995,"x10","x9","x8",0.999999999993057,0.999998849704006,0.884424241274356
"1029_LEV",1000,5,"S2",3,0.783123324612173,0.120529295730457,0.152558945529281,299.525695639415,0.603207994731891,4,1138.788,"x1","x2","x3",1,1,1
"1030_ERA",1000,5,"S2",3,0.622626227300741,0.162445060135769,0.202229351595624,152.747311031832,0.385990591736686,4,1143.73799999995,"x1","x2","x3",1,1,0.999999998078009
"1089_USCrime",47,14,"S2",3,0.738365889600816,0.133015223663404,0.150086660299822,30.2522473618741,0.520408344435199,11,367.005000000005,"x13","x3","x6",0.999739754908077,0.990971122371715,0.810247588611827
