"Experiment","Run","Number","Feature","Margs"
"S1",6,"Feature1","(x2*x3)*x3",1
"S1",6,"Feature2","(x3*x2)*x2",1
"S1",6,"Feature3","sin_deg(x2)",1
"S1",6,"Feature4","p2(x3)*sin_deg(x2)",1
"S1",6,"Feature5","p2(x2)",1
"S1",6,"Feature6","sin_deg(x3)",1
"S1",6,"Feature7","x3*x2",0.999999999999997
"S1",6,"Feature8","p2(x3)",0.999999999696416
"S1",6,"Feature9","x2",0.750000000016487
"S1",6,"Feature10","x3",0.750000000002004
"S1",6,"Feature11","x3",0.625000000008468
"S1",6,"Feature12","x2",0.625000000000976
"S1",6,"Feature1","x1",1
"S1",6,"Feature2","p3(x5*x7)",1
"S1",6,"Feature3","x6",1
"S1",6,"Feature4","x8",1
"S1",6,"Feature5","troot(x9*x12)",1
"S1",6,"Feature6","x3*x10",1
"S1",6,"Feature7","troot(x12)",1
"S1",6,"Feature8","x5*x7",1
"S1",6,"Feature9","troot(x12)*p3(x5*x7)",0.999999995742971
"S1",6,"Feature10","x3",0.954759923713251
"S1",6,"Feature11","x10",0.954759919456222
"S1",6,"Feature12","x3",0.909496940507022
"S1",6,"Feature13","x11",0.822158537160702
"S1",6,"Feature14","x12",0.780037310463107
"S1",6,"Feature15","x12",0.747249715491756
"S1",6,"Feature16","x11",0.744153773563677
"S1",6,"Feature17","x10",0.494522335312298
"S1",6,"Feature18","x3",0.478951004099729
"S1",6,"Feature19","x12*x10",0.0311888040588338
"S1",6,"Feature1","x1",0.999999999999115
"S1",6,"Feature2","x2",0.155401911223441
"S1",6,"Feature1","x1",1
"S1",6,"Feature2","x2",1
"S1",6,"Feature3","x5",1
"S1",6,"Feature4","x7",1
"S1",6,"Feature5","x3",0.999999999999999
"S1",6,"Feature6","x2*x1",0.999999999999986
"S1",6,"Feature7","x1*x3",0.999999999405916
"S1",6,"Feature8","x1*x6",0.99999999726466
"S1",6,"Feature9","x5*x1",0.999894701406784
"S1",6,"Feature10","x6",0.666701767103393
"S1",6,"Feature11","x6",0.666649115080651
"S1",6,"Feature1","x2*x3",1
"S1",6,"Feature2","x5",0.999983866157863
"S1",6,"Feature3","x3",0.837357501572794
"S1",6,"Feature4","x4",0.63436382163295
"S1",6,"Feature5","x4",0.562870037889096
"S1",6,"Feature6","x3",0.543755663892744
"S1",6,"Feature7","x4",0.537449064214524
"S1",6,"Feature8","sin_deg(x4)",0.379627123342247
"S1",6,"Feature9","p3(x4)",0.354972980005371
"S1",6,"Feature1","p3(x15)*x29",1
"S1",6,"Feature2","x15*x29",1
"S1",6,"Feature3","x12*x2",1
"S1",6,"Feature4","x1*x35",1
"S1",6,"Feature5","troot(x21)",1
"S1",6,"Feature6","x7*x22",1
"S1",6,"Feature7","(x15*(x7*x22))*x35",1
"S1",6,"Feature8","troot(x21)*x15",1
"S1",6,"Feature9","x27",0.999999999990171
"S1",6,"Feature10","x1",0.999999992163033
"S1",6,"Feature11","p2(x15)",0.999999983930203
"S1",6,"Feature12","troot(x15)",0.99999958988472
"S1",6,"Feature13","x9",0.9999991952758
"S1",6,"Feature14","x15",0.999998148442681
"S1",6,"Feature15","x29",0.999996700435476
"S1",6,"Feature16","sin_deg(x1)",0.999904405664464
"S1",6,"Feature17","x22",0.999900319160702
"S1",6,"Feature18","sin_deg(x15)",0.999846150676769
"S1",6,"Feature19","x29",0.525917222863825
"S1",6,"Feature20","x15",0.419439597985779
"S1",6,"Feature21","x36",0.211034737889108
"S1",6,"Feature22","x15",0.0449864704662581
"S1",6,"Feature23","x15",0.0449849727648197
"S1",6,"Feature24","x19",0.0188450376848354
"S1",6,"Feature25","x35",0.00515473620972804
"S1",6,"Feature26","troot(x1)",0.00418317910436014
"S1",6,"Feature27","x15*x7",0.00265208653513696
"S1",6,"Feature1","x45",1
"S1",6,"Feature2","x100",1
"S1",6,"Feature3","x99",0.999999999999983
"S1",6,"Feature4","x100*x42",0.999999996080084
"S1",6,"Feature5","x102",0.999999838961039
"S1",6,"Feature6","x71",0.99999746234068
"S1",6,"Feature7","x43",0.999980001788157
"S1",6,"Feature8","1",0.999968935675982
"S1",6,"Feature9","x41",0.999967313491554
"S1",6,"Feature10","x100*x43",0.999967313491554
"S1",6,"Feature11","x71",0.619573544044245
"S1",6,"Feature12","x42",0.619566238085295
"S1",6,"Feature13","x99",0.619551089276566
"S1",6,"Feature14","p2(x71)",0.619242217886353
"S1",6,"Feature15","x42",0.380544615963545
"S1",6,"Feature16","cos_deg(x71)",0.380448991790561
"S1",6,"Feature17","x61",0.237847814777276
"S1",6,"Feature1","x3",0.807064746387519
"S1",6,"Feature2","x1",0.674954201278477
"S1",6,"Feature3","x1",0.654417722362971
"S1",6,"Feature4","x2",0.60127644168467
"S1",6,"Feature5","x2",0.578297874118029
"S1",6,"Feature6","troot(x1)",0.025204751379183
"S1",6,"Feature7","x2*x4",0.00563822360332167
