"Data","n","p","Experiment","Run","Correlation","MAE","RMSE","LMP","R2","Count_P","Time","First","Second","Third","FirstM","SecondM","ThirdM"
"_deprecated_195_auto_price",159,16,"S1",7,0.86000168840951,0.0856399307851108,0.132847468702995,152.962496273307,0.657553886160804,11,491.773999999998,"x7","x12","cos_deg(x3)",0.999988061674866,0.972005910808195,0.939185570954417
"_deprecated_207_autoPrice",159,16,"S1",7,0.866701038392523,0.0851051699641476,0.12379597613809,150.728308915221,0.702628918785141,4,451.117000000006,"p3(x7)","x3","x2",0.998120291540252,0.99114926559098,0.662952403031991
"1027_ESL",488,5,"S1",7,0.935086524824018,0.0511881303037165,0.0632336702589289,458.775857452055,0.869433966471055,7,671.291000000005,"x4","x2","troot(x1)",1,0.999387411810449,0.817095059361833
"1028_SWD",1000,11,"S1",7,0.621231220973282,0.167296923305507,0.206857945379892,78.0111719045305,0.375726401044727,8,942.128999999994,"x10","x9","x2",1,0.999998815040558,0.992880078860734
"1029_LEV",1000,5,"S1",7,0.740611700412689,0.119449981431801,0.159417383885049,310.527765189954,0.54507549970011,7,1201.392,"x2","x4","x1",1,0.772730435563427,0.772728190957707
"1030_ERA",1000,5,"S1",7,0.610873554350307,0.150573263031952,0.192130542667757,139.527405927377,0.372275133581774,4,948.887999999999,"x1","x2","x3",1,1,0.999999999988338
"1089_USCrime",47,14,"S1",7,0.947748605894015,0.081237985402213,0.098591976254834,24.3927259953103,0.776365324984084,12,371.014999999999,"x1","x1","x4",0.659322477140388,0.622370129519582,0.622202754019896
"1096_FacultySalaries",50,5,"S1",7,0.945866231646599,0.0701525435809421,0.0866581018810127,37.856955408594,0.87253643486541,4,365.471000000005,"x4","x2","x3",0.857887093786767,0.539697199861936,0.519237804418761
"1199_BNG_echoMonths",17496,10,"S1",7,0.678922005821071,0.115380204644182,0.147323006777026,6258.61390156562,0.460851908635296,14,19814.957,"x8","x3","p3(x2)",1,1,0.972452115058547
"192_vineyard",52,3,"S1",7,0.898927037058424,0.0988229489276318,0.129029944461949,30.4163768674707,0.754218631325622,3,281.137000000002,"x1","x1","troot(x1)",0.563104686392046,0.563104686392046,0.477772509901234
"197_cpu_act",8192,22,"S1",7,0.439273224887998,NA,NA,13665.7931556039,NA,18,9327.46400000001,"x7","x8","x21*x6",1,1,1
"_deprecated_195_auto_price",159,16,"S1",7,0.86000168840951,0.0856399307851108,0.132847468702995,152.962496273307,0.657553886160804,11,473.381,"x7","x12","cos_deg(x3)",0.999988061674866,0.972005910808195,0.939185570954417
"_deprecated_207_autoPrice",159,16,"S1",7,0.866701038392523,0.0851051699641476,0.12379597613809,150.728308915221,0.702628918785141,4,439.892,"p3(x7)","x3","x2",0.998120291540252,0.99114926559098,0.662952403031991
"1027_ESL",488,5,"S1",7,0.935086524824018,0.0511881303037165,0.0632336702589289,458.775857452055,0.869433966471055,7,638.387,"x4","x2","troot(x1)",1,0.999387411810449,0.817095059361833
"1028_SWD",1000,11,"S1",7,0.621231220973282,0.167296923305507,0.206857945379892,78.0111719045305,0.375726401044727,8,817.899,"x10","x9","x2",1,0.999998815040558,0.992880078860734
"1029_LEV",1000,5,"S1",7,0.740611700412689,0.119449981431801,0.159417383885049,310.527765189954,0.54507549970011,7,1050.258,"x2","x4","x1",1,0.772730435563427,0.772728190957707
"1030_ERA",1000,5,"S1",7,0.610873554350307,0.150573263031952,0.192130542667757,139.527405927377,0.372275133581774,4,860.583,"x1","x2","x3",1,1,0.999999999988338
"1089_USCrime",47,14,"S1",7,0.947748605894015,0.081237985402213,0.098591976254834,24.3927259953103,0.776365324984084,12,366.689,"x1","x1","x4",0.659322477140388,0.622370129519582,0.622202754019896
