"Experiment","Run","Number","Feature","Margs"
"S2",27,"Feature1","x2*x2",1
"S2",27,"Feature2","x2*(x3*x3)",1
"S2",27,"Feature3","troot(x3)",1
"S2",27,"Feature4","sin_deg(x2)",1
"S2",27,"Feature5","(x2*x2)*x3",1
"S2",27,"Feature6","p3(x2*(x3*x3))",1
"S2",27,"Feature7","p3(x3)",1
"S2",27,"Feature8","cos_deg(x5)",0.999991837625016
"S2",27,"Feature9","(x2*x2)*p3(x3)",0.995554255896333
"S2",27,"Feature10","x2",0.778757558546021
"S2",27,"Feature11","x3",0.612840011598423
"S2",27,"Feature12","x2",0.612840011586577
"S2",27,"Feature13","x3",0.612831849217101
"S2",27,"Feature14","x3",0.555304488584049
"S2",27,"Feature1","p2(x6*x12)",1
"S2",27,"Feature2","x6*x12",1
"S2",27,"Feature3","x4*x10",1
"S2",27,"Feature4","x11*troot(x12)",1
"S2",27,"Feature5","x6*(x6*x12)",1
"S2",27,"Feature6","x12",1
"S2",27,"Feature7","p2(x12)*x12",1
"S2",27,"Feature8","x4*x8",1
"S2",27,"Feature9","x1*(x3*x3)",1
"S2",27,"Feature10","p2(x12)",1
"S2",27,"Feature11","x9*x12",1
"S2",27,"Feature12","x3*x3",1
"S2",27,"Feature13","p2(x3*x3)",1
"S2",27,"Feature14","x12*x4",1
"S2",27,"Feature15","x8",0.928570967022474
"S2",27,"Feature16","x8",0.857143372275407
"S2",27,"Feature17","x6",0.714284575639772
"S2",27,"Feature18","x4",0.642857734003945
"S2",27,"Feature19","x8",0.642857003066367
"S2",27,"Feature20","x4",0.428572048968643
"S2",27,"Feature1","x1",0.571914815636934
"S2",27,"Feature2","x1",0.571914815636933
"S2",27,"Feature3","sin_deg(x1)",0.502565517745578
"S2",27,"Feature4","cos_deg(x1)",0.440052709606013
"S2",27,"Feature5","p3(x1*x1)",0.0011145928813767
"S2",27,"Feature1","x5",1
"S2",27,"Feature2","x1",1
"S2",27,"Feature3","x2*x1",0.999999999999942
"S2",27,"Feature4","x3",0.999999999999864
"S2",27,"Feature5","x1*x3",0.999999998422067
"S2",27,"Feature6","x6*x1",0.999996410451004
"S2",27,"Feature7","x1*x5",0.999761796482018
"S2",27,"Feature8","x7",0.998325187091928
"S2",27,"Feature9","x2",0.996740714107516
"S2",27,"Feature10","x6",0.990835529132897
"S2",27,"Feature11","x2",0.877780974496837
"S2",27,"Feature12","x2",0.740392740963701
"S2",27,"Feature13","x2",0.519102466932553
"S2",27,"Feature14","x2",0.51282389527787
"S2",27,"Feature15","x7",0.394564256402146
"S2",27,"Feature16","x4",0.0281472340376515
"S2",27,"Feature17","p3(x6)",0.0222882229690587
"S2",27,"Feature1","x3",1
"S2",27,"Feature2","(x6*x3)*x4",1
"S2",27,"Feature3","x2*x2",1
"S2",27,"Feature4","x4",0.991962719359279
"S2",27,"Feature5","x5",0.120214629723518
"S2",27,"Feature6","x6",0.0106301565368526
"S2",27,"Feature1","troot(x27)",1
"S2",27,"Feature2","x27*x9",1
"S2",27,"Feature3","p2(x33)*cos_deg(x23)",1
"S2",27,"Feature4","(p3(x27*x9)*cos_deg(x27))*cos_deg(x23)",1
"S2",27,"Feature5","x16*x34",1
"S2",27,"Feature6","x10",1
"S2",27,"Feature7","x19",1
"S2",27,"Feature8","x2",1
"S2",27,"Feature9","x33",1
"S2",27,"Feature10","(x16*x34)*x23",1
"S2",27,"Feature11","x21",0.999999999999998
"S2",27,"Feature12","cos_deg(x19)",0.99999999999999
"S2",27,"Feature13","x13",0.999999999505149
"S2",27,"Feature14","x30",0.999999956567015
"S2",27,"Feature15","x23",0.999999939082415
"S2",27,"Feature16","sin_deg(x25)",0.999999921467999
"S2",27,"Feature17","troot(x9)",0.999999921103953
"S2",27,"Feature18","x12*x13",0.999999921094992
"S2",27,"Feature19","x35*x23",0.999999921077432
"S2",27,"Feature20","sin_deg(x26)",0.999999921077312
"S2",27,"Feature21","x10",0.999999910492896
"S2",27,"Feature1","x100",1
"S2",27,"Feature2","x43",0.999999999936938
"S2",27,"Feature3","x42",0.999999999918634
"S2",27,"Feature4","x102",0.999999997465324
"S2",27,"Feature5","x99",0.999999995354686
"S2",27,"Feature6","x33",0.999999811987986
"S2",27,"Feature7","x4",0.999999787428956
"S2",27,"Feature8","x38",0.999999086061652
"S2",27,"Feature9","x71",0.999996357219723
"S2",27,"Feature10","x45",0.999953242520059
"S2",27,"Feature11","x97",0.999921555731015
"S2",27,"Feature12","x41",0.99988036562794
"S2",27,"Feature13","x96",0.999726257966918
"S2",27,"Feature14","x7",0.999229083986746
"S2",27,"Feature15","x94",0.999117723137059
"S2",27,"Feature16","x109",0.998476101766676
"S2",27,"Feature17","x78",0.998413683769823
"S2",27,"Feature18","x86",0.998413683688639
"S2",27,"Feature19","x115",0.726701096950557
"S2",27,"Feature20","x75",0.633997832331321
"S2",27,"Feature21","x77",0.567435827869477
"S2",27,"Feature22","x49",0.302098017498991
"S2",27,"Feature23","x106",0.262156814235309
"S2",27,"Feature24","x104",0.226302077183202
"S2",27,"Feature25","x114",0.155631021990496
"S2",27,"Feature26","x57",0.115758792320605
"S2",27,"Feature27","x107",0.0350368461584031
"S2",27,"Feature28","x48*x101",0.024178186087965
"S2",27,"Feature1","x1",0.999999832896107
"S2",27,"Feature2","x3",0.909486601358872
"S2",27,"Feature3","x2",0.430129091190576
"S2",27,"Feature4","x4",0.13919160998588
